code,elo2,elo_current,elo_5yr_ago,elo_wc2022,d_1m,d_3m,d_6m,d_1yr,d_2yr,d_5yr,win_rate,total_matches,elo_form_score
ALG,DZ,1760,1621,1745,32,46,50,131,15,104,0.379,689,58.1
ARG,AR,2114,1987,1983,1,1,-32,-26,131,47,0.343,1110,86.7
AUS,AU,1777,1672,1731,4,4,19,7,46,70,0.425,637,47.8
AUT,AT,1830,1810,1746,12,12,-15,-33,84,53,0.499,866,50.5
BEL,BE,1893,1755,2099,44,44,57,-95,-206,-28,0.474,878,52.1
BIH,BA,1595,1626,1628,23,23,69,118,-33,-166,0.42,281,36.2
BRA,BR,1991,1998,2151,13,13,-3,-40,-160,-25,0.35,1067,69.9
CAN,CA,1788,1599,1627,-17,-14,-8,77,161,267,0.314,490,56.2
CIV,CI,1695,1640,1641,58,88,119,60,54,-29,0.348,693,42.9
COD,CD,1661,1557,1474,22,45,78,115,187,92,0.303,548,44.1
COL,CO,1982,1621,1928,-16,-16,46,-29,54,-31,0.285,650,69.8
CPV,CV,1578,1302,1438,17,17,60,26,140,76,0.316,253,24.9
CRO,HR,1911,1881,1825,-21,-21,-1,-57,86,93,0.395,400,58.2
CUW,CW,1434,1381,1432,-32,-32,104,81,2,268,0.348,500,12.3
CZE,CZ,1740,1855,1767,9,9,-23,-33,-27,-14,0.408,884,39.2
ECU,EC,1938,1525,1793,5,5,29,66,145,63,0.305,600,73.8
EGY,EG,1696,1662,1598,37,72,30,53,98,57,0.4,885,42.3
ENG,EN,2021,1983,1981,-21,-21,10,41,40,51,0.438,1161,81.7
ESP,ES,2155,1946,2033,-17,-17,-2,134,122,164,0.437,781,100.0
FRA,FR,2062,1795,2087,0,0,7,-23,-25,88,0.505,939,80.5
GER,DE,1932,1911,1935,22,22,19,13,-3,-102,0.449,1047,67.8
GHA,GH,1510,1651,1599,1,1,33,-22,-89,-130,0.317,779,11.6
HAI,HT,1548,1418,1565,6,6,-9,51,-17,63,0.321,563,23.6
IRN,IR,1772,1658,1793,17,17,-26,-48,-21,28,0.333,670,41.7
IRQ,IQ,1618,1622,1630,36,-2,100,-41,-12,114,0.183,761,23.1
JOR,JO,1680,1324,1476,-9,45,24,71,204,145,0.344,585,42.1
JPN,JP,1906,1467,1761,28,28,52,53,145,152,0.397,836,68.5
KOR,KR,1758,1687,1762,-26,-26,-9,22,-4,-39,0.336,1052,47.0
KSA,SA,1569,1500,1579,-23,-28,-39,-45,-10,42,0.386,839,16.6
MAR,MA,1827,1657,1677,21,1,16,57,150,252,0.437,730,59.1
MEX,MX,1875,1782,1888,19,41,73,84,-13,-103,0.289,1030,67.8
NED,NL,1944,1848,1949,-15,-15,-30,-28,-5,20,0.477,902,65.2
NOR,NO,1914,1623,1738,-8,-8,52,180,176,279,0.48,888,82.2
NZL,NZ,1562,1499,1485,-23,-23,-48,37,77,2,0.306,441,23.9
PAN,PA,1730,1362,1546,-3,-12,5,21,184,34,0.338,594,43.4
PAR,PY,1833,1755,1771,1,1,2,124,62,93,0.272,789,66.5
POR,PT,1986,1797,2037,10,10,-44,-14,-51,78,0.462,695,71.8
QAT,QA,1421,1416,1654,-4,-4,-109,-208,-233,-117,0.469,699,0.0
RSA,ZA,1518,1707,1478,-11,-13,-52,-61,40,-84,0.525,526,8.7
SCO,SQ,1782,1879,1678,-8,-8,66,13,104,72,0.464,869,49.0
SEN,SN,1867,1591,1730,-3,63,109,106,137,193,0.313,705,69.0
SUI,CH,1891,1690,1889,-6,-6,64,87,2,121,0.475,897,70.1
SWE,SE,1712,1795,1848,52,52,-42,38,-136,-50,0.438,1120,42.8
TUN,TN,1628,1616,1647,14,-13,15,-58,-19,77,0.434,777,22.7
TUR,TR,1911,1611,1800,30,30,64,155,111,83,0.434,671,79.4
URU,UY,1892,1876,1935,2,2,3,-99,-43,-32,0.33,1019,51.6
USA,US,1726,1642,1790,-21,-21,14,-59,-64,-43,0.591,827,34.9
UZB,UZ,1718,1596,1569,-10,-17,24,49,149,69,0.355,366,44.6
