team_a,team_b,scope,matches,wins_a,draws,wins_b,goals_a,goals_b,win_pct_a,win_pct_b,avg_goals_a,avg_goals_b,last_meeting
MEX,RSA,all_competitive,4,1,1,1,6.0,5.0,0.25,0.25,1.5,1.25,2026-06-11
MEX,RSA,wc_only,2,0,1,0,1.0,1.0,0.0,0.0,0.5,0.5,2026-06-11
MEX,KOR,all_competitive,7,3,2,1,11.0,7.0,0.42857142857142855,0.14285714285714285,1.5714285714285714,1.0,2026-06-18
MEX,KOR,wc_only,3,2,0,0,5.0,2.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,2026-06-18
MEX,CZE,all_competitive,2,0,0,1,1.0,2.0,0.0,0.5,0.5,1.0,2026-06-24
MEX,CZE,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-24
MEX,CAN,all_competitive,31,19,8,4,64.0,22.0,0.6129032258064516,0.12903225806451613,2.064516129032258,0.7096774193548387,2025-03-20
MEX,QAT,all_competitive,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,2023-07-02
MEX,SUI,all_competitive,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1950-07-02
MEX,SUI,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1950-07-02
MEX,BRA,all_competitive,22,7,2,13,21.0,40.0,0.3181818181818182,0.5909090909090909,0.9545454545454546,1.8181818181818181,2018-07-02
MEX,BRA,wc_only,5,0,1,4,0.0,13.0,0.0,0.8,0.0,2.6,2018-07-02
MEX,HAI,all_competitive,11,9,2,0,30.0,3.0,0.8181818181818182,0.0,2.727272727272727,0.2727272727272727,2023-06-29
MEX,USA,all_competitive,53,26,11,16,102.0,65.0,0.49056603773584906,0.3018867924528302,1.9245283018867925,1.2264150943396226,2025-07-06
MEX,USA,wc_only,1,0,0,1,0.0,2.0,0.0,1.0,0.0,2.0,2002-06-17
MEX,PAR,all_competitive,6,2,3,1,9.0,3.0,0.3333333333333333,0.16666666666666666,1.5,0.5,2007-07-08
MEX,PAR,wc_only,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1986-06-07
MEX,AUS,all_competitive,2,0,0,2,1.0,5.0,0.0,1.0,0.5,2.5,2001-05-30
MEX,GER,all_competitive,6,1,1,4,6.0,16.0,0.16666666666666666,0.6666666666666666,1.0,2.6666666666666665,2018-06-17
MEX,GER,wc_only,4,1,1,2,2.0,8.0,0.25,0.5,0.5,2.0,2018-06-17
MEX,CUW,all_competitive,7,4,2,1,25.0,4.0,0.5714285714285714,0.14285714285714285,3.5714285714285716,0.5714285714285714,2017-07-16
MEX,ECU,all_competitive,7,4,2,1,10.0,6.0,0.5714285714285714,0.14285714285714285,1.4285714285714286,0.8571428571428571,2024-06-30
MEX,ECU,wc_only,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,2002-06-09
MEX,NED,all_competitive,2,0,1,1,3.0,4.0,0.0,0.5,1.5,2.0,2014-06-29
MEX,NED,wc_only,2,0,1,1,3.0,4.0,0.0,0.5,1.5,2.0,2014-06-29
MEX,JPN,all_competitive,4,3,0,1,7.0,5.0,0.75,0.25,1.75,1.25,2013-06-22
MEX,SWE,all_competitive,2,0,0,2,0.0,6.0,0.0,1.0,0.0,3.0,2018-06-27
MEX,SWE,wc_only,2,0,0,2,0.0,6.0,0.0,1.0,0.0,3.0,2018-06-27
MEX,TUN,all_competitive,1,0,0,1,1.0,3.0,0.0,1.0,1.0,3.0,1978-06-02
MEX,TUN,wc_only,1,0,0,1,1.0,3.0,0.0,1.0,1.0,3.0,1978-06-02
MEX,BEL,all_competitive,3,2,1,0,5.0,3.0,0.6666666666666666,0.0,1.6666666666666667,1.0,1998-06-20
MEX,BEL,wc_only,3,2,1,0,5.0,3.0,0.6666666666666666,0.0,1.6666666666666667,1.0,1998-06-20
MEX,EGY,all_competitive,3,2,1,0,7.0,2.0,0.6666666666666666,0.0,2.3333333333333335,0.6666666666666666,1999-07-27
MEX,IRN,all_competitive,1,1,0,0,3.0,1.0,1.0,0.0,3.0,1.0,2006-06-11
MEX,IRN,wc_only,1,1,0,0,3.0,1.0,1.0,0.0,3.0,1.0,2006-06-11
MEX,NZL,all_competitive,3,3,0,0,11.0,4.0,1.0,0.0,3.6666666666666665,1.3333333333333333,2017-06-21
MEX,ESP,all_competitive,2,0,0,2,1.0,8.0,0.0,1.0,0.5,4.0,1962-06-03
MEX,ESP,wc_only,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,1962-06-03
MEX,KSA,all_competitive,5,5,0,0,16.0,2.0,1.0,0.0,3.2,0.4,2025-06-28
MEX,KSA,wc_only,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,2022-11-30
MEX,URU,all_competitive,9,3,3,3,12.0,11.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.2222222222222223,2016-06-05
MEX,URU,wc_only,2,0,1,1,0.0,1.0,0.0,0.5,0.0,0.5,2010-06-22
MEX,FRA,all_competitive,5,1,1,3,6.0,12.0,0.2,0.6,1.2,2.4,2010-06-17
MEX,FRA,wc_only,4,1,1,2,6.0,8.0,0.25,0.5,1.5,2.0,2010-06-17
MEX,IRQ,all_competitive,1,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1986-06-11
MEX,IRQ,wc_only,1,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1986-06-11
MEX,NOR,all_competitive,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,1994-06-19
MEX,NOR,wc_only,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,1994-06-19
MEX,ARG,all_competitive,12,1,3,8,11.0,25.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,2.0833333333333335,2022-11-26
MEX,ARG,wc_only,4,0,0,4,5.0,13.0,0.0,1.0,1.25,3.25,2022-11-26
MEX,POR,all_competitive,3,0,1,2,4.0,6.0,0.0,0.6666666666666666,1.3333333333333333,2.0,2017-07-02
MEX,POR,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,2006-06-21
MEX,COL,all_competitive,6,2,1,3,7.0,7.0,0.3333333333333333,0.5,1.1666666666666667,1.1666666666666667,2005-07-17
MEX,ENG,all_competitive,1,0,0,1,0.0,2.0,0.0,1.0,0.0,2.0,1966-07-16
MEX,ENG,wc_only,1,0,0,1,0.0,2.0,0.0,1.0,0.0,2.0,1966-07-16
MEX,CRO,all_competitive,3,2,0,1,5.0,3.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,2014-06-23
MEX,CRO,wc_only,2,2,0,0,4.0,1.0,1.0,0.0,2.0,0.5,2014-06-23
MEX,PAN,all_competitive,23,15,6,2,44.0,16.0,0.6521739130434783,0.08695652173913043,1.9130434782608696,0.6956521739130435,2025-03-23
RSA,KOR,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-24
RSA,KOR,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-24
RSA,CZE,all_competitive,2,0,1,0,2.0,2.0,0.0,0.0,1.0,1.0,2026-06-18
RSA,CZE,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-18
RSA,BRA,all_competitive,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,2009-06-25
RSA,MAR,all_competitive,8,4,2,2,13.0,9.0,0.5,0.25,1.625,1.125,2024-01-30
RSA,USA,all_competitive,1,0,0,1,0.0,4.0,0.0,1.0,0.0,4.0,2000-06-03
RSA,PAR,all_competitive,1,0,1,0,2.0,2.0,0.0,0.0,2.0,2.0,2002-06-02
RSA,PAR,wc_only,1,0,1,0,2.0,2.0,0.0,0.0,2.0,2.0,2002-06-02
RSA,AUS,all_competitive,1,1,0,0,2.0,0.0,1.0,0.0,2.0,0.0,1996-09-18
RSA,CIV,all_competitive,5,1,3,1,3.0,3.0,0.2,0.2,0.6,0.6,2019-06-24
RSA,TUN,all_competitive,5,1,2,2,5.0,7.0,0.2,0.4,1.0,1.4,2024-01-24
RSA,EGY,all_competitive,7,3,1,3,4.0,4.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,2025-12-26
RSA,NZL,all_competitive,1,1,0,0,2.0,0.0,1.0,0.0,2.0,0.0,2009-06-17
RSA,ESP,all_competitive,3,0,0,3,4.0,8.0,0.0,1.0,1.3333333333333333,2.6666666666666665,2009-06-28
RSA,ESP,wc_only,1,0,0,1,2.0,3.0,0.0,1.0,2.0,3.0,2002-06-12
RSA,CPV,all_competitive,6,2,2,2,6.0,6.0,0.3333333333333333,0.3333333333333333,1.0,1.0,2024-02-03
RSA,KSA,all_competitive,1,0,1,0,2.0,2.0,0.0,0.0,2.0,2.0,1998-06-24
RSA,KSA,wc_only,1,0,1,0,2.0,2.0,0.0,0.0,2.0,2.0,1998-06-24
RSA,URU,all_competitive,2,0,0,2,3.0,7.0,0.0,1.0,1.5,3.5,2010-06-16
RSA,URU,wc_only,1,0,0,1,0.0,3.0,0.0,1.0,0.0,3.0,2010-06-16
RSA,FRA,all_competitive,2,1,0,1,2.0,4.0,0.5,0.5,1.0,2.0,2010-06-22
RSA,FRA,wc_only,2,1,0,1,2.0,4.0,0.5,0.5,1.0,2.0,2010-06-22
RSA,SEN,all_competitive,5,0,3,2,3.0,6.0,0.0,0.4,0.6,1.2,2021-07-18
RSA,IRQ,all_competitive,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14
RSA,ALG,all_competitive,4,1,2,1,7.0,8.0,0.25,0.25,1.75,2.0,2024-03-26
RSA,COD,all_competitive,7,4,2,1,8.0,5.0,0.5714285714285714,0.14285714285714285,1.1428571428571428,0.7142857142857143,2024-02-10
RSA,GHA,all_competitive,11,3,3,5,7.0,11.0,0.2727272727272727,0.45454545454545453,0.6363636363636364,1.0,2021-11-14
RSA,PAN,all_competitive,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,2005-07-17
KOR,CZE,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-11
KOR,CZE,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-11
KOR,CAN,all_competitive,2,0,1,1,1.0,2.0,0.0,0.5,0.5,1.0,2002-02-02
KOR,QAT,all_competitive,9,5,1,3,16.0,11.0,0.5555555555555556,0.3333333333333333,1.7777777777777777,1.2222222222222223,2019-01-25
KOR,SUI,all_competitive,1,0,0,1,0.0,2.0,0.0,1.0,0.0,2.0,2006-06-23
KOR,SUI,wc_only,1,0,0,1,0.0,2.0,0.0,1.0,0.0,2.0,2006-06-23
KOR,BRA,all_competitive,1,0,0,1,1.0,4.0,0.0,1.0,1.0,4.0,2022-12-05
KOR,BRA,wc_only,1,0,0,1,1.0,4.0,0.0,1.0,1.0,4.0,2022-12-05
KOR,MAR,all_competitive,3,0,3,0,4.0,4.0,0.0,0.0,1.3333333333333333,1.3333333333333333,2001-02-08
KOR,USA,all_competitive,4,2,1,1,5.0,4.0,0.5,0.25,1.25,1.0,2002-06-10
KOR,USA,wc_only,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,2002-06-10
KOR,PAR,all_competitive,2,0,1,1,2.0,4.0,0.0,0.5,1.0,2.0,2001-01-27
KOR,AUS,all_competitive,17,4,8,5,18.0,18.0,0.23529411764705882,0.29411764705882354,1.0588235294117647,1.0588235294117647,2024-02-02
KOR,TUR,all_competitive,2,0,0,2,2.0,10.0,0.0,1.0,1.0,5.0,2002-06-29
KOR,TUR,wc_only,2,0,0,2,2.0,10.0,0.0,1.0,1.0,5.0,2002-06-29
KOR,GER,all_competitive,3,1,0,2,4.0,4.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2018-06-27
KOR,GER,wc_only,3,1,0,2,4.0,4.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2018-06-27
KOR,NED,all_competitive,1,0,0,1,0.0,5.0,0.0,1.0,0.0,5.0,1998-06-20
