team,title_american,source,date_utc
ESP,450,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
FRA,475,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
ENG,700,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
POR,850,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
ARG,900,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
BRA,900,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
GER,1400,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
NED,2000,DraftKings/FanDuel/CBS Sports consensus June 2026,2026-06-08T00:00:00Z
NOR,3500,DraftKings/FanDuel/CBS Sports consensus June 2026 — dark horse pick,2026-06-08T00:00:00Z
BEL,3500,DraftKings/FanDuel consensus June 2026,2026-06-08T00:00:00Z
COL,5000,DraftKings/FanDuel consensus June 2026,2026-06-08T00:00:00Z
MAR,5000,DraftKings/FanDuel consensus June 2026,2026-06-08T00:00:00Z
JPN,6000,DraftKings/FanDuel consensus June 2026 (post-Mitoma),2026-06-08T00:00:00Z
URU,8000,DraftKings/FanDuel consensus June 2026,2026-06-08T00:00:00Z
SEN,9000,DraftKings/FanDuel consensus June 2026,2026-06-08T00:00:00Z
USA,9000,DraftKings/FanDuel consensus June 2026 (host nation premium),2026-06-08T00:00:00Z
MEX,10000,DraftKings/FanDuel consensus June 2026 (host nation premium),2026-06-08T00:00:00Z
CRO,12000,DraftKings/FanDuel consensus June 2026,2026-06-08T00:00:00Z
