code,date,opponent,gf,ga,result,tournament,neutral
MEX,2024-03-21,PAN,3,0,W,CONCACAF Nations League,True
MEX,2024-03-24,USA,0,2,L,CONCACAF Nations League,False
MEX,2024-06-22,JAM,1,0,W,Copa América,True
MEX,2024-06-26,VEN,0,1,L,Copa América,True
MEX,2024-06-30,ECU,0,0,D,Copa América,True
MEX,2024-11-15,HON,0,2,L,CONCACAF Nations League,False
MEX,2024-11-19,HON,4,0,W,CONCACAF Nations League,False
MEX,2025-03-20,CAN,2,0,W,CONCACAF Nations League,True
MEX,2025-03-23,PAN,2,1,W,CONCACAF Nations League,True
MEX,2025-06-14,DOM,3,2,W,Gold Cup,True
MEX,2025-06-18,SUR,2,0,W,Gold Cup,True
MEX,2025-06-22,COS,0,0,D,Gold Cup,True
MEX,2025-06-28,KSA,2,0,W,Gold Cup,True
MEX,2025-07-02,HON,1,0,W,Gold Cup,True
MEX,2025-07-06,USA,2,1,W,Gold Cup,False
RSA,2024-09-10,SOU,3,2,W,African Cup of Nations qualification,False
RSA,2024-10-11,CON,5,0,W,African Cup of Nations qualification,False
RSA,2024-10-15,CON,1,1,D,African Cup of Nations qualification,False
RSA,2024-11-15,UGA,2,0,W,African Cup of Nations qualification,False
RSA,2024-11-19,SOU,3,0,W,African Cup of Nations qualification,False
RSA,2025-03-21,LES,0,3,L,FIFA World Cup qualification,False
RSA,2025-03-25,BEN,2,0,W,FIFA World Cup qualification,True
RSA,2025-09-05,LES,3,0,W,FIFA World Cup qualification,False
RSA,2025-09-09,NIG,1,1,D,FIFA World Cup qualification,False
RSA,2025-10-10,ZIM,0,0,D,FIFA World Cup qualification,False
RSA,2025-10-14,RWA,3,0,W,FIFA World Cup qualification,False
RSA,2025-12-22,ANG,2,1,W,African Cup of Nations,True
RSA,2025-12-26,EGY,0,1,L,African Cup of Nations,True
RSA,2025-12-29,ZIM,3,2,W,African Cup of Nations,True
RSA,2026-01-04,CAM,1,2,L,African Cup of Nations,True
KOR,2024-02-06,JOR,0,2,L,AFC Asian Cup,True
KOR,2024-03-21,THA,1,1,D,FIFA World Cup qualification,False
KOR,2024-03-26,THA,3,0,W,FIFA World Cup qualification,False
KOR,2024-06-06,SIN,7,0,W,FIFA World Cup qualification,False
KOR,2024-06-11,CHI,1,0,W,FIFA World Cup qualification,False
KOR,2024-09-05,PAL,0,0,D,FIFA World Cup qualification,False
KOR,2024-09-10,OMA,3,1,W,FIFA World Cup qualification,False
KOR,2024-10-10,JOR,2,0,W,FIFA World Cup qualification,False
KOR,2024-10-15,IRQ,3,2,W,FIFA World Cup qualification,False
KOR,2024-11-14,KUW,3,1,W,FIFA World Cup qualification,False
KOR,2024-11-19,PAL,1,1,D,FIFA World Cup qualification,True
KOR,2025-03-20,OMA,1,1,D,FIFA World Cup qualification,False
KOR,2025-03-25,JOR,1,1,D,FIFA World Cup qualification,False
KOR,2025-06-05,IRQ,2,0,W,FIFA World Cup qualification,False
KOR,2025-06-10,KUW,4,0,W,FIFA World Cup qualification,False
CZE,2024-09-10,UKR,3,2,W,UEFA Nations League,False
CZE,2024-10-11,ALB,2,0,W,UEFA Nations League,False
CZE,2024-10-14,UKR,1,1,D,UEFA Nations League,True
CZE,2024-11-16,ALB,0,0,D,UEFA Nations League,False
CZE,2024-11-19,GEO,2,1,W,UEFA Nations League,False
CZE,2025-03-22,FAR,2,1,W,FIFA World Cup qualification,False
CZE,2025-03-25,GIB,4,0,W,FIFA World Cup qualification,True
CZE,2025-06-06,MON,2,0,W,FIFA World Cup qualification,False
CZE,2025-06-09,CRO,1,5,L,FIFA World Cup qualification,False
CZE,2025-09-05,MON,2,0,W,FIFA World Cup qualification,False
CZE,2025-10-09,CRO,0,0,D,FIFA World Cup qualification,False
CZE,2025-10-12,FAR,1,2,L,FIFA World Cup qualification,False
CZE,2025-11-17,GIB,6,0,W,FIFA World Cup qualification,False
CZE,2026-03-26,REP,2,2,D,FIFA World Cup qualification,False
CZE,2026-03-31,DEN,2,2,D,FIFA World Cup qualification,False
CAN,2024-06-25,PER,1,0,W,Copa América,True
CAN,2024-06-29,CHI,0,0,D,Copa América,True
CAN,2024-07-05,VEN,1,1,D,Copa América,True
CAN,2024-07-09,ARG,0,2,L,Copa América,True
CAN,2024-07-13,URU,2,2,D,Copa América,True
CAN,2024-11-15,SUR,1,0,W,CONCACAF Nations League,False
CAN,2024-11-19,SUR,3,0,W,CONCACAF Nations League,False
CAN,2025-03-20,MEX,0,2,L,CONCACAF Nations League,True
CAN,2025-03-23,USA,2,1,W,CONCACAF Nations League,False
CAN,2025-06-07,UKR,4,2,W,Canadian Shield,False
CAN,2025-06-10,CIV,0,0,D,Canadian Shield,False
CAN,2025-06-17,HON,6,0,W,Gold Cup,False
CAN,2025-06-21,CUW,1,1,D,Gold Cup,True
CAN,2025-06-24,EL ,2,0,W,Gold Cup,True
CAN,2025-06-29,GUA,1,1,D,Gold Cup,True
BIH,2024-09-10,HUN,0,0,D,UEFA Nations League,False
BIH,2024-10-11,GER,1,2,L,UEFA Nations League,False
BIH,2024-10-14,HUN,0,2,L,UEFA Nations League,False
BIH,2024-11-16,GER,0,7,L,UEFA Nations League,False
BIH,2024-11-19,NED,1,1,D,UEFA Nations League,False
BIH,2025-03-21,ROM,1,0,W,FIFA World Cup qualification,False
BIH,2025-03-24,CYP,2,1,W,FIFA World Cup qualification,False
BIH,2025-06-07,SAN,1,0,W,FIFA World Cup qualification,False
BIH,2025-09-06,SAN,6,0,W,FIFA World Cup qualification,False
BIH,2025-09-09,AUT,1,2,L,FIFA World Cup qualification,False
BIH,2025-10-09,CYP,2,2,D,FIFA World Cup qualification,False
BIH,2025-11-15,ROM,3,1,W,FIFA World Cup qualification,False
BIH,2025-11-18,AUT,1,1,D,FIFA World Cup qualification,False
BIH,2026-03-26,WAL,1,1,D,FIFA World Cup qualification,False
BIH,2026-03-31,ITA,1,1,D,FIFA World Cup qualification,False
QAT,2024-10-15,IRN,1,4,L,FIFA World Cup qualification,True
QAT,2024-11-14,UZB,3,2,W,FIFA World Cup qualification,False
QAT,2024-11-19,UNI,0,5,L,FIFA World Cup qualification,False
QAT,2024-12-21,UNI,1,1,D,Gulf Cup,True
QAT,2024-12-24,OMA,1,2,L,Gulf Cup,True
QAT,2024-12-27,KUW,1,1,D,Gulf Cup,False
QAT,2025-03-20,NOR,5,1,W,FIFA World Cup qualification,False
QAT,2025-03-25,KYR,1,3,L,FIFA World Cup qualification,False
QAT,2025-06-05,IRN,1,0,W,FIFA World Cup qualification,False
QAT,2025-06-10,UZB,0,3,L,FIFA World Cup qualification,False
QAT,2025-10-08,OMA,0,0,D,FIFA World Cup qualification,False
QAT,2025-10-14,UNI,2,1,W,FIFA World Cup qualification,False
QAT,2025-12-01,PAL,0,1,L,Arab Cup,False
QAT,2025-12-04,SYR,1,1,D,Arab Cup,False
QAT,2025-12-07,TUN,0,3,L,Arab Cup,False
SUI,2024-06-23,GER,1,1,D,UEFA Euro,False
SUI,2024-06-29,ITA,2,0,W,UEFA Euro,True
SUI,2024-07-06,ENG,1,1,D,UEFA Euro,True
SUI,2024-09-05,DEN,0,2,L,UEFA Nations League,False
SUI,2024-09-08,ESP,1,4,L,UEFA Nations League,False
SUI,2024-10-12,SER,0,2,L,UEFA Nations League,False
SUI,2024-10-15,DEN,2,2,D,UEFA Nations League,False
SUI,2024-11-15,SER,1,1,D,UEFA Nations League,False
SUI,2024-11-18,ESP,2,3,L,UEFA Nations League,False
SUI,2025-09-05,KOS,4,0,W,FIFA World Cup qualification,False
