code,n_matches,ppda,shot_quality,press_intensity,comeback_rate,choke_rate,shots_per_game,shots_conceded_per_game
ARG,11,3.74,0.1582,0.4192,0.25,0.3,15.27,8.64
AUS,7,4.99,0.0933,0.4384,0.4,0.333,8.57,13.0
BEL,10,3.62,0.1148,0.4974,0.333,0.143,14.3,15.0
BRA,10,3.68,0.1285,0.4209,0.333,0.25,20.2,8.3
CAN,3,4.23,0.1122,0.3619,0.0,1.0,11.67,9.67
CMR,3,4.54,0.1095,0.3838,0.5,0.5,9.33,14.33
COL,4,4.38,0.1571,0.5386,0.0,0.333,11.5,13.5
CRC,6,7.76,0.0914,0.38,0.0,0.0,6.5,18.17
CRO,14,4.03,0.1547,0.4284,0.75,0.091,15.07,13.36
DEN,7,4.61,0.126,0.4139,0.0,0.667,11.43,15.57
ECU,3,4.22,0.1269,0.3971,0.5,0.0,10.0,6.67
EGY,3,4.33,0.0963,0.4838,0.0,1.0,10.33,16.33
ENG,12,3.38,0.1496,0.4405,0.2,0.125,13.67,10.92
ESP,8,2.68,0.1479,0.3793,0.4,0.6,16.0,7.88
FRA,14,4.51,0.1264,0.4529,0.6,0.167,13.43,10.86
GER,6,2.93,0.1032,0.3962,0.4,0.333,23.5,9.5
GHA,3,6.03,0.1341,0.3924,0.0,0.0,8.33,14.67
IRN,6,5.22,0.1166,0.5029,0.25,0.0,9.33,13.67
ISL,3,3.18,0.131,0.66,0.333,0.2,12.0,19.33
JPN,8,4.64,0.1334,0.4832,0.429,0.4,11.5,15.88
KOR,7,4.27,0.0807,0.4824,0.2,0.0,11.71,15.29
KSA,6,4.35,0.0965,0.4214,0.333,0.0,10.83,14.33
MAR,10,5.3,0.1168,0.4631,0.0,0.2,10.5,11.1
MEX,7,3.78,0.0789,0.4318,0.0,0.0,14.71,14.0
NED,5,4.61,0.1857,0.4171,0.0,0.25,9.6,14.4
NGA,3,3.5,0.0867,0.5581,0.0,0.0,13.0,9.67
PAN,3,5.6,0.0998,0.5486,0.0,0.2,8.0,13.67
PER,3,4.82,0.0875,0.459,0.0,0.0,11.0,13.0
POL,7,5.11,0.1248,0.3939,0.25,0.0,9.0,14.14
POR,9,3.87,0.098,0.3746,0.25,0.429,13.78,10.67
QAT,3,6.95,0.0704,0.3571,0.0,0.2,6.67,10.33
RUS,5,4.28,0.2029,0.5869,0.0,0.25,11.8,17.8
SEN,7,4.6,0.1005,0.4445,0.0,0.5,11.29,8.29
SRB,6,3.28,0.1072,0.5476,0.2,0.75,11.17,15.67
SUI,8,4.09,0.1073,0.4107,0.5,0.0,11.5,13.38
SWE,5,3.6,0.127,0.5869,0.0,0.25,11.6,14.6
TUN,6,3.75,0.1057,0.4976,0.0,0.0,11.67,13.33
URU,8,4.1,0.1112,0.4443,0.0,0.0,12.0,10.25
USA,4,4.83,0.0856,0.3836,0.0,0.5,11.5,7.5
WAL,3,5.2,0.0925,0.3371,0.333,0.2,8.0,15.0
