code,n_matches,ppda,shot_quality,press_intensity,comeback_rate,choke_rate,shots_per_game,shots_conceded_per_game
ARG,11,3.74,0.1582,0.4192,0.3,0.2,15.27,426.45
AUS,7,4.99,0.0933,0.4384,0.3,0.2,8.57,601.71
BEL,10,3.62,0.1148,0.4974,0.3,0.2,14.3,482.2
BRA,10,3.68,0.1285,0.4209,0.3,0.2,20.2,459.7
CAN,3,4.23,0.1122,0.3619,0.3,0.2,11.67,478.0
CMR,3,4.54,0.1095,0.3838,0.3,0.2,9.33,559.33
COL,4,4.38,0.1571,0.5386,0.3,0.2,11.5,502.75
CRC,6,7.76,0.0914,0.38,0.3,0.2,6.5,709.83
CRO,14,4.03,0.1547,0.4284,0.3,0.2,15.07,495.29
DEN,7,4.61,0.126,0.4139,0.3,0.2,11.43,519.86
ECU,3,4.22,0.1269,0.3971,0.3,0.2,10.0,443.67
EGY,3,4.33,0.0963,0.4838,0.3,0.2,10.33,588.0
ENG,12,3.38,0.1496,0.4405,0.3,0.2,13.67,444.0
ESP,8,2.68,0.1479,0.3793,0.3,0.2,16.0,308.25
FRA,14,4.51,0.1264,0.4529,0.3,0.2,13.43,510.79
GER,6,2.93,0.1032,0.3962,0.3,0.2,23.5,358.0
GHA,3,6.03,0.1341,0.3924,0.3,0.2,8.33,579.67
IRN,6,5.22,0.1166,0.5029,0.3,0.2,9.33,643.33
ISL,3,3.18,0.131,0.66,0.3,0.2,12.0,620.0
JPN,8,4.64,0.1334,0.4832,0.3,0.2,11.5,639.5
KOR,7,4.27,0.0807,0.4824,0.3,0.2,11.71,553.71
KSA,6,4.35,0.0965,0.4214,0.3,0.2,10.83,458.17
MAR,10,5.3,0.1168,0.4631,0.3,0.2,10.5,608.2
MEX,7,3.78,0.0789,0.4318,0.3,0.2,14.71,413.43
NED,5,4.61,0.1857,0.4171,0.3,0.2,9.6,527.4
NGA,3,3.5,0.0867,0.5581,0.3,0.2,13.0,479.0
PAN,3,5.6,0.0998,0.5486,0.3,0.2,8.0,621.67
PER,3,4.82,0.0875,0.459,0.3,0.2,11.0,470.67
POL,7,5.11,0.1248,0.3939,0.3,0.2,9.0,592.14
POR,9,3.87,0.098,0.3746,0.3,0.2,13.78,427.44
QAT,3,6.95,0.0704,0.3571,0.3,0.2,6.67,632.67
RUS,5,4.28,0.2029,0.5869,0.3,0.2,11.8,702.0
SEN,7,4.6,0.1005,0.4445,0.3,0.2,11.29,508.71
SRB,6,3.28,0.1072,0.5476,0.3,0.2,11.17,524.33
SUI,8,4.09,0.1073,0.4107,0.3,0.2,11.5,463.38
SWE,5,3.6,0.127,0.5869,0.3,0.2,11.6,557.2
TUN,6,3.75,0.1057,0.4976,0.3,0.2,11.67,507.83
URU,8,4.1,0.1112,0.4443,0.3,0.2,12.0,521.88
USA,4,4.83,0.0856,0.3836,0.3,0.2,11.5,494.75
WAL,3,5.2,0.0925,0.3371,0.3,0.2,8.0,534.33
