code,name,group,fifa_rank,attack,defense,midfield,transition,setpiece,goalkeeper,depth,coach,penalties,discipline,health,form,climate_resilience,altitude_resilience,travel_resilience,elo_current,d_1yr,d_2yr,elo_wc2022,ppda,shot_quality,press_intensity,comeback_rate,choke_rate,form_data_driven
ESP,Spain,H,2,91,90,90,83,84,82,89,88,83,78,90,78.3000,80,78,74,2155,134,122,2033,2.6800,0.1479,0.3793,0.3000,0.2000,78.3000
FRA,France,I,1,92,88,90,88,85,84,89,87,84,76,86,65.1000,79,77,79,2062,-23,-25,2087,4.5100,0.1264,0.4529,0.3000,0.2000,65.1000
ARG,Argentina,J,3,89,87,89,84,86,84,86,86,86,80,79,69.5000,77,76,76,2114,-26,131,1983,3.7400,0.1582,0.4192,0.3000,0.2000,69.5000
BRA,Brazil,C,6,88,84,86,91,82,81,84,90,82,77,77,59.8000,82,79,77,1991,-40,-160,2151,3.6800,0.1285,0.4209,0.3000,0.2000,59.8000
ENG,England,L,4,89,85,88,86,84,82,83,84,84,75,84,66.4000,78,76,78,2021,41,40,1981,3.3800,0.1496,0.4405,0.3000,0.2000,66.4000
POR,Portugal,K,5,87,84,87,83,83,81,85,83,83,76,86,58.7000,79,76,76,1986,-14,-51,2037,3.8700,0.0980,0.3746,0.3000,0.2000,58.7000
GER,Germany,E,7,86,82,85,85,82,80,84,85,81,74,85,57.0000,80,77,78,1932,13,-3,1935,2.9300,0.1032,0.3962,0.3000,0.2000,57.0000
NED,Netherlands,F,8,79,79,79,81,81,82,73,82,80,75,74,60.2000,78,76,77,1944,-28,-5,1949,4.6100,0.1857,0.4171,0.3000,0.2000,60.2000
BEL,Belgium,G,9,84,79,81,83,81,79,80,79,81,73,84,51.1000,77,75,76,1893,-95,-206,2099,3.6200,0.1148,0.4974,0.3000,0.2000,51.1000
JPN,Japan,F,10,74,81,80,84,77,79,78,82,78,80,80,59.2000,84,79,83,1906,53,145,1761,4.6400,0.1334,0.4832,0.3000,0.2000,59.2000
