team,position,probability
ESP,group_1,0.428
ESP,group_2,0.292
ESP,group_3,0.174
ESP,group_4,0.106
FRA,group_1,0.4
FRA,group_2,0.274
FRA,group_3,0.2
FRA,group_4,0.126
ARG,group_1,0.381
ARG,group_2,0.292
ARG,group_3,0.182
ARG,group_4,0.145
BRA,group_1,0.387
BRA,group_2,0.293
BRA,group_3,0.206
BRA,group_4,0.114
ENG,group_1,0.379
ENG,group_2,0.278
ENG,group_3,0.2
ENG,group_4,0.143
POR,group_1,0.404
POR,group_2,0.257
POR,group_3,0.194
POR,group_4,0.145
GER,group_1,0.399
GER,group_2,0.256
GER,group_3,0.189
GER,group_4,0.156
NED,group_1,0.28
NED,group_2,0.256
NED,group_3,0.244
NED,group_4,0.22
BEL,group_1,0.35
BEL,group_2,0.259
BEL,group_3,0.215
BEL,group_4,0.176
JPN,group_1,0.312
JPN,group_2,0.229
JPN,group_3,0.247
JPN,group_4,0.212
SEN,group_1,0.242
SEN,group_2,0.273
SEN,group_3,0.231
SEN,group_4,0.254
MAR,group_1,0.262
MAR,group_2,0.299
MAR,group_3,0.238
MAR,group_4,0.201
COL,group_1,0.283
COL,group_2,0.302
COL,group_3,0.236
COL,group_4,0.179
URU,group_1,0.276
URU,group_2,0.27
URU,group_3,0.237
URU,group_4,0.217
NOR,group_1,0.229
NOR,group_2,0.251
NOR,group_3,0.291
NOR,group_4,0.229
CRO,group_1,0.286
CRO,group_2,0.229
CRO,group_3,0.272
CRO,group_4,0.213
SUI,group_1,0.3
SUI,group_2,0.261
SUI,group_3,0.225
SUI,group_4,0.214
AUT,group_1,0.255
AUT,group_2,0.263
AUT,group_3,0.252
AUT,group_4,0.23
MEX,group_1,0.291
MEX,group_2,0.253
MEX,group_3,0.237
MEX,group_4,0.219
USA,group_1,0.284
USA,group_2,0.246
USA,group_3,0.217
USA,group_4,0.253
ECU,group_1,0.247
ECU,group_2,0.301
ECU,group_3,0.238
ECU,group_4,0.214
SWE,group_1,0.216
SWE,group_2,0.254
SWE,group_3,0.262
SWE,group_4,0.268
ALG,group_1,0.212
ALG,group_2,0.249
ALG,group_3,0.279
ALG,group_4,0.26
PAR,group_1,0.239
PAR,group_2,0.222
PAR,group_3,0.272
PAR,group_4,0.267
TUN,group_1,0.192
TUN,group_2,0.261
TUN,group_3,0.247
TUN,group_4,0.3
IRN,group_1,0.264
IRN,group_2,0.271
IRN,group_3,0.25
IRN,group_4,0.215
AUS,group_1,0.227
AUS,group_2,0.274
AUS,group_3,0.245
AUS,group_4,0.254
SCO,group_1,0.224
SCO,group_2,0.225
SCO,group_3,0.285
SCO,group_4,0.266
TUR,group_1,0.25
TUR,group_2,0.258
TUR,group_3,0.266
TUR,group_4,0.226
KOR,group_1,0.253
KOR,group_2,0.263
KOR,group_3,0.244
KOR,group_4,0.24
EGY,group_1,0.241
EGY,group_2,0.262
EGY,group_3,0.236
EGY,group_4,0.261
CZE,group_1,0.247
CZE,group_2,0.25
CZE,group_3,0.237
CZE,group_4,0.266
CIV,group_1,0.202
CIV,group_2,0.248
CIV,group_3,0.296
CIV,group_4,0.254
BIH,group_1,0.216
BIH,group_2,0.244
BIH,group_3,0.259
BIH,group_4,0.281
GHA,group_1,0.161
GHA,group_2,0.253
GHA,group_3,0.256
GHA,group_4,0.33
PAN,group_1,0.174
PAN,group_2,0.24
PAN,group_3,0.272
PAN,group_4,0.314
QAT,group_1,0.225
QAT,group_2,0.222
QAT,group_3,0.249
QAT,group_4,0.304
IRQ,group_1,0.129
IRQ,group_2,0.202
IRQ,group_3,0.278
IRQ,group_4,0.391
KSA,group_1,0.158
KSA,group_2,0.233
KSA,group_3,0.283
KSA,group_4,0.326
RSA,group_1,0.209
RSA,group_2,0.234
RSA,group_3,0.282
RSA,group_4,0.275
UZB,group_1,0.17
UZB,group_2,0.236
UZB,group_3,0.277
UZB,group_4,0.317
JOR,group_1,0.152
JOR,group_2,0.196
JOR,group_3,0.287
JOR,group_4,0.365
CPV,group_1,0.138
CPV,group_2,0.205
CPV,group_3,0.306
CPV,group_4,0.351
NZL,group_1,0.145
NZL,group_2,0.208
NZL,group_3,0.299
NZL,group_4,0.348
CUW,group_1,0.152
CUW,group_2,0.195
CUW,group_3,0.277
CUW,group_4,0.376
HAI,group_1,0.127
HAI,group_2,0.183
HAI,group_3,0.271
HAI,group_4,0.419
COD,group_1,0.143
COD,group_2,0.205
COD,group_3,0.293
COD,group_4,0.359
CAN,group_1,0.259
CAN,group_2,0.273
CAN,group_3,0.267
CAN,group_4,0.201
