team,stage,probability
ESP,group_survived,0.848
ESP,r16,0.521
ESP,qf,0.324
ESP,sf,0.21
ESP,final,0.117
ESP,champion,0.061
FRA,group_survived,0.817
FRA,r16,0.503
FRA,qf,0.317
FRA,sf,0.193
FRA,final,0.111
FRA,champion,0.068
ARG,group_survived,0.807
ARG,r16,0.495
ARG,qf,0.303
ARG,sf,0.183
ARG,final,0.106
ARG,champion,0.06
BRA,group_survived,0.824
BRA,r16,0.51
BRA,qf,0.315
BRA,sf,0.188
BRA,final,0.115
BRA,champion,0.081
ENG,group_survived,0.807
ENG,r16,0.501
ENG,qf,0.318
ENG,sf,0.185
ENG,final,0.11
ENG,champion,0.065
POR,group_survived,0.814
POR,r16,0.472
POR,qf,0.288
POR,sf,0.171
POR,final,0.108
POR,champion,0.065
GER,group_survived,0.798
GER,r16,0.462
GER,qf,0.242
GER,sf,0.136
GER,final,0.067
GER,champion,0.038
NED,group_survived,0.712
NED,r16,0.366
NED,qf,0.192
NED,sf,0.087
NED,final,0.04
NED,champion,0.019
BEL,group_survived,0.767
BEL,r16,0.439
BEL,qf,0.238
BEL,sf,0.117
BEL,final,0.064
BEL,champion,0.028
JPN,group_survived,0.717
JPN,r16,0.362
JPN,qf,0.187
JPN,sf,0.108
JPN,final,0.045
JPN,champion,0.022
SEN,group_survived,0.671
SEN,r16,0.374
SEN,qf,0.19
SEN,sf,0.104
SEN,final,0.058
SEN,champion,0.027
MAR,group_survived,0.713
MAR,r16,0.38
MAR,qf,0.21
MAR,sf,0.117
MAR,final,0.063
MAR,champion,0.042
COL,group_survived,0.752
COL,r16,0.383
COL,qf,0.209
COL,sf,0.105
COL,final,0.048
COL,champion,0.023
URU,group_survived,0.707
URU,r16,0.369
URU,qf,0.184
URU,sf,0.097
URU,final,0.048
URU,champion,0.023
NOR,group_survived,0.671
NOR,r16,0.343
NOR,qf,0.174
NOR,sf,0.08
NOR,final,0.048
NOR,champion,0.02
CRO,group_survived,0.699
CRO,r16,0.37
CRO,qf,0.19
CRO,sf,0.101
CRO,final,0.046
CRO,champion,0.025
SUI,group_survived,0.719
SUI,r16,0.387
SUI,qf,0.181
SUI,sf,0.076
SUI,final,0.035
SUI,champion,0.015
AUT,group_survived,0.687
AUT,r16,0.323
AUT,qf,0.176
AUT,sf,0.093
AUT,final,0.047
AUT,champion,0.018
MEX,group_survived,0.708
MEX,r16,0.374
MEX,qf,0.171
MEX,sf,0.071
MEX,final,0.043
MEX,champion,0.019
USA,group_survived,0.678
USA,r16,0.358
USA,qf,0.18
USA,sf,0.092
USA,final,0.038
USA,champion,0.021
ECU,group_survived,0.714
ECU,r16,0.34
ECU,qf,0.161
ECU,sf,0.078
ECU,final,0.039
ECU,champion,0.028
SWE,group_survived,0.635
SWE,r16,0.315
SWE,qf,0.159
SWE,sf,0.075
SWE,final,0.04
SWE,champion,0.016
ALG,group_survived,0.642
ALG,r16,0.308
ALG,qf,0.134
ALG,sf,0.063
ALG,final,0.029
ALG,champion,0.011
PAR,group_survived,0.66
PAR,r16,0.328
PAR,qf,0.149
PAR,sf,0.071
PAR,final,0.031
PAR,champion,0.017
TUN,group_survived,0.615
TUN,r16,0.276
TUN,qf,0.131
TUN,sf,0.063
TUN,final,0.024
TUN,champion,0.01
IRN,group_survived,0.693
IRN,r16,0.325
IRN,qf,0.159
IRN,sf,0.086
IRN,final,0.04
IRN,champion,0.013
AUS,group_survived,0.666
AUS,r16,0.339
AUS,qf,0.15
AUS,sf,0.068
AUS,final,0.031
AUS,champion,0.015
SCO,group_survived,0.642
SCO,r16,0.315
SCO,qf,0.148
SCO,sf,0.067
SCO,final,0.023
SCO,champion,0.008
TUR,group_survived,0.705
TUR,r16,0.354
TUR,qf,0.16
TUR,sf,0.077
TUR,final,0.034
TUR,champion,0.009
KOR,group_survived,0.678
KOR,r16,0.327
KOR,qf,0.155
KOR,sf,0.075
KOR,final,0.041
KOR,champion,0.018
EGY,group_survived,0.652
EGY,r16,0.296
EGY,qf,0.132
EGY,sf,0.058
EGY,final,0.023
EGY,champion,0.007
CZE,group_survived,0.66
CZE,r16,0.317
CZE,qf,0.12
CZE,sf,0.049
CZE,final,0.027
CZE,champion,0.008
CIV,group_survived,0.638
CIV,r16,0.312
CIV,qf,0.132
CIV,sf,0.053
CIV,final,0.026
CIV,champion,0.012
BIH,group_survived,0.64
BIH,r16,0.295
BIH,qf,0.128
BIH,sf,0.056
BIH,final,0.022
BIH,champion,0.009
GHA,group_survived,0.588
GHA,r16,0.269
GHA,qf,0.123
GHA,sf,0.054
GHA,final,0.028
GHA,champion,0.015
PAN,group_survived,0.58
PAN,r16,0.259
PAN,qf,0.119
PAN,sf,0.049
PAN,final,0.011
PAN,champion,0.002
QAT,group_survived,0.604
QAT,r16,0.255
QAT,qf,0.116
QAT,sf,0.041
QAT,final,0.016
QAT,champion,0.006
IRQ,group_survived,0.488
IRQ,r16,0.195
IRQ,qf,0.072
IRQ,sf,0.034
IRQ,final,0.012
IRQ,champion,0.006
KSA,group_survived,0.565
KSA,r16,0.213
KSA,qf,0.102
KSA,sf,0.034
KSA,final,0.012
KSA,champion,0.005
RSA,group_survived,0.623
RSA,r16,0.26
RSA,qf,0.113
RSA,sf,0.051
RSA,final,0.02
RSA,champion,0.01
UZB,group_survived,0.57
UZB,r16,0.241
UZB,qf,0.097
UZB,sf,0.034
UZB,final,0.013
UZB,champion,0.002
JOR,group_survived,0.524
JOR,r16,0.187
JOR,qf,0.073
JOR,sf,0.026
JOR,final,0.011
JOR,champion,0.003
CPV,group_survived,0.519
CPV,r16,0.232
CPV,qf,0.111
CPV,sf,0.046
CPV,final,0.021
CPV,champion,0.006
NZL,group_survived,0.534
NZL,r16,0.212
NZL,qf,0.086
NZL,sf,0.035
NZL,final,0.01
NZL,champion,0.002
CUW,group_survived,0.524
CUW,r16,0.194
CUW,qf,0.062
CUW,sf,0.02
CUW,final,0.007
CUW,champion,0.005
HAI,group_survived,0.479
HAI,r16,0.182
HAI,qf,0.064
HAI,sf,0.032
HAI,final,0.015
HAI,champion,0.003
COD,group_survived,0.528
COD,r16,0.199
COD,qf,0.084
COD,sf,0.025
COD,final,0.003
COD,champion,0.0
CAN,group_survived,0.718
CAN,r16,0.363
CAN,qf,0.171
CAN,sf,0.066
CAN,final,0.034
CAN,champion,0.014
