team,champ_score,final_score,sf_score,champ_xg,final_xg,sf_xg,champ_delta_pp,final_delta_pp
ESP,0.1729,0.26293,0.37675,0.17087,0.26246,0.37764,-0.2030000000000004,-0.046999999999997044
ARG,0.14568,0.2295,0.34251,0.14587,0.23142,0.34507,0.018999999999999573,0.19199999999999773
FRA,0.09848,0.17003,0.28964,0.09892,0.17202,0.29263,0.043999999999999595,0.19900000000000195
ENG,0.06843,0.12734,0.22519,0.06846,0.12763,0.22579,0.002999999999998837,0.02899999999999847
BRA,0.0562,0.10806,0.20831,0.05557,0.10666,0.20677,-0.06299999999999986,-0.13999999999999985
POR,0.0495,0.09801,0.17771,0.04893,0.0958,0.1756,-0.057000000000000106,-0.22100000000000036
COL,0.04774,0.09653,0.17704,0.04853,0.09679,0.17621,0.0789999999999999,0.025999999999999635
NED,0.03245,0.06938,0.14855,0.03297,0.07178,0.15215,0.05199999999999996,0.23999999999999994
ECU,0.03191,0.06949,0.1528,0.03165,0.07009,0.15217,-0.02600000000000033,0.06000000000000033
GER,0.03024,0.06819,0.1498,0.03092,0.0684,0.14906,0.068,0.021000000000000185
MEX,0.0284,0.0661,0.15055,0.02773,0.06481,0.14962,-0.06700000000000005,-0.12899999999999995
NOR,0.02338,0.05557,0.1245,0.02307,0.05393,0.12183,-0.031000000000000125,-0.16400000000000026
BEL,0.02122,0.05114,0.10918,0.02262,0.05242,0.11135,0.14000000000000018,0.12800000000000034
JPN,0.02179,0.05225,0.12035,0.02246,0.05363,0.12174,0.06700000000000005,0.13799999999999993
CRO,0.02304,0.05413,0.11407,0.02194,0.05176,0.11203,-0.11000000000000003,-0.2369999999999997
URU,0.02087,0.05168,0.10888,0.02092,0.05148,0.10889,0.005000000000000143,-0.01999999999999988
SUI,0.02179,0.05071,0.11571,0.02004,0.04959,0.11383,-0.17500000000000016,-0.1119999999999996
TUR,0.01939,0.04598,0.1017,0.01974,0.04739,0.1032,0.03499999999999996,0.14100000000000015
SEN,0.0139,0.03697,0.08895,0.01443,0.03589,0.0885,0.053000000000000096,-0.10800000000000046
MAR,0.00921,0.02649,0.07161,0.00956,0.02656,0.07213,0.035000000000000135,0.007000000000000062
CAN,0.00848,0.0247,0.06862,0.00856,0.02474,0.0693,0.008000000000000021,0.004000000000000184
USA,0.009,0.02705,0.07039,0.00784,0.02452,0.0667,-0.11599999999999996,-0.2530000000000001
KOR,0.00727,0.02238,0.06988,0.00741,0.02307,0.07064,0.01399999999999995,0.06899999999999996
AUT,0.0068,0.02083,0.05193,0.0073,0.02068,0.05303,0.050000000000000044,-0.015000000000000083
IRN,0.00491,0.01594,0.0452,0.00506,0.01638,0.04434,0.014999999999999996,0.04399999999999994
SCO,0.00463,0.01411,0.04448,0.00465,0.01405,0.04461,0.0020000000000000052,-0.005999999999999929
PAR,0.00329,0.00927,0.02642,0.00416,0.01088,0.02964,0.08699999999999997,0.16100000000000003
AUS,0.00388,0.01274,0.0381,0.0041,0.01287,0.03764,0.022000000000000013,0.01299999999999999
ALG,0.00265,0.00938,0.02646,0.00266,0.0095,0.02715,0.0010000000000000026,0.012000000000000031
PAN,0.00198,0.00775,0.02576,0.00212,0.00812,0.02572,0.013999999999999993,0.037000000000000054
CZE,0.00175,0.00656,0.02337,0.00178,0.00612,0.02314,0.002999999999999986,-0.044000000000000025
SWE,0.00174,0.00676,0.0236,0.00177,0.00662,0.02294,0.003000000000000008,-0.014000000000000037
EGY,0.00147,0.00652,0.02215,0.00169,0.00661,0.02213,0.022000000000000013,0.009000000000000067
CIV,0.00158,0.00595,0.02337,0.00145,0.00572,0.02198,-0.013000000000000012,-0.023000000000000017
UZB,0.00123,0.00513,0.01823,0.00144,0.00546,0.01787,0.02100000000000001,0.03299999999999996
BIH,0.00042,0.00276,0.013,0.00056,0.00261,0.01216,0.013999999999999993,-0.014999999999999996
JOR,0.00052,0.00258,0.00987,0.00054,0.00264,0.01004,0.0020000000000000052,0.006000000000000016
TUN,0.00049,0.00212,0.00885,0.00047,0.002,0.0093,-0.002,-0.011999999999999988
COD,0.00055,0.00224,0.00898,0.00042,0.00197,0.00842,-0.013000000000000001,-0.026999999999999982
IRQ,0.00027,0.00112,0.00579,0.00029,0.00127,0.0057,0.002,0.015000000000000017
CPV,0.00013,0.0008,0.00473,0.00017,0.00096,0.00456,0.004000000000000003,0.016
KSA,0.00013,0.00074,0.00423,0.00013,0.00077,0.00422,0.0,0.002999999999999997
HAI,8e-05,0.00056,0.00313,0.00011,0.00055,0.00326,0.0029999999999999996,-0.0009999999999999918
NZL,0.00013,0.00076,0.0044,8e-05,0.00083,0.00436,-0.004999999999999998,0.006999999999999997
RSA,6e-05,0.00029,0.00186,3e-05,0.00021,0.00209,-0.003,-0.008
GHA,2e-05,0.00031,0.00183,1e-05,0.00025,0.00147,-0.001,-0.005999999999999999
CUW,2e-05,7e-05,0.00067,0.0,3e-05,0.00051,-0.002,-0.004
QAT,0.0,0.0001,0.0009,0.0,6e-05,0.00087,0.0,-0.004
