team,elo_current,expert_champion_prob,elo_temperature_champion_prob,elo_original_100k_prob,expert_rank,elo_temperature_rank,delta_expert_to_elo_temp_pp,xg_ratio_vs_median_beta_orig,xg_ratio_vs_median_beta_temp,explanation_short
ESP,2155.0,0.07317,0.1697,NOT_SAVED,3,1,9.65,4.514,2.291,Elite Elo 2155: ratio vs median = 2.29x (orig 4.51x)
ARG,2114.0,0.07818,0.14761,NOT_SAVED,2,2,6.94,3.686,2.049,Elite Elo 2114: ratio vs median = 2.05x (orig 3.69x)
FRA,2062.0,0.0819,0.10033,NOT_SAVED,1,3,1.84,2.851,1.779,Top Elo 2062: ratio vs median = 1.78x
ENG,2021.0,0.06646,0.06708,NOT_SAVED,4,4,0.06,2.328,1.592,Top Elo 2021: ratio vs median = 1.59x
BRA,1991.0,0.06587,0.05692,NOT_SAVED,5,5,-0.9,2.007,1.467,Mid Elo 1991: ratio vs median = 1.47x
COL,1982.0,0.03697,0.04821,NOT_SAVED,8,6,1.12,1.92,1.432,Mid Elo 1982: ratio vs median = 1.43x
POR,1986.0,0.04928,0.04811,NOT_SAVED,6,7,-0.12,1.958,1.447,Mid Elo 1986: ratio vs median = 1.45x
NED,1944.0,0.02374,0.03297,NOT_SAVED,14,8,0.92,1.591,1.291,Mid Elo 1944: ratio vs median = 1.29x
ECU,1938.0,0.02045,0.03089,NOT_SAVED,18,9,1.04,1.545,1.27,Mid Elo 1938: ratio vs median = 1.27x
GER,1932.0,0.04498,0.03022,NOT_SAVED,7,10,-1.48,1.5,1.25,Mid Elo 1932: ratio vs median = 1.25x
MEX,1875.0,0.02576,0.02549,NOT_SAVED,13,11,-0.03,1.131,1.07,Low Elo 1875: xG disadvantaged vs top teams
JPN,1906.0,0.02935,0.02367,NOT_SAVED,10,12,-0.57,1.319,1.164,Mid Elo 1906: ratio vs median = 1.16x
NOR,1914.0,0.01917,0.0231,NOT_SAVED,20,13,0.39,1.372,1.19,Mid Elo 1914: ratio vs median = 1.19x
CRO,1911.0,0.0266,0.02279,NOT_SAVED,11,14,-0.38,1.352,1.18,Mid Elo 1911: ratio vs median = 1.18x
BEL,1893.0,0.03682,0.02178,NOT_SAVED,9,15,-1.5,1.237,1.124,Low Elo 1893: xG disadvantaged vs top teams
SUI,1891.0,0.01877,0.02144,NOT_SAVED,21,16,0.27,1.225,1.118,Low Elo 1891: xG disadvantaged vs top teams
URU,1892.0,0.02122,0.02021,NOT_SAVED,17,17,-0.1,1.231,1.121,Low Elo 1892: xG disadvantaged vs top teams
TUR,1911.0,0.01096,0.01882,NOT_SAVED,27,18,0.79,1.352,1.18,Mid Elo 1911: ratio vs median = 1.18x
SEN,1867.0,0.01998,0.01446,NOT_SAVED,19,19,-0.55,1.088,1.047,Low Elo 1867: xG disadvantaged vs top teams
PAR,1833.0,0.01283,0.01091,NOT_SAVED,24,20,-0.19,0.919,0.955,Low Elo 1833: xG disadvantaged vs top teams
CAN,1788.0,0.02342,0.01029,NOT_SAVED,15,21,-1.31,0.736,0.845,Low Elo 1788: xG disadvantaged vs top teams
MAR,1827.0,0.02628,0.0097,NOT_SAVED,12,22,-1.66,0.893,0.939,Low Elo 1827: xG disadvantaged vs top teams
AUT,1830.0,0.0142,0.00781,NOT_SAVED,22,23,-0.64,0.906,0.947,Low Elo 1830: xG disadvantaged vs top teams
IRN,1772.0,0.01245,0.00476,NOT_SAVED,25,24,-0.77,0.68,0.809,Low Elo 1772: xG disadvantaged vs top teams
SCO,1782.0,0.01097,0.00458,NOT_SAVED,26,25,-0.64,0.715,0.831,Low Elo 1782: xG disadvantaged vs top teams
AUS,1777.0,0.00953,0.0042,NOT_SAVED,30,26,-0.53,0.697,0.82,Low Elo 1777: xG disadvantaged vs top teams
KOR,1758.0,0.00984,0.00404,NOT_SAVED,29,27,-0.58,0.635,0.779,Low Elo 1758: xG disadvantaged vs top teams
USA,1726.0,0.02179,0.00329,NOT_SAVED,16,28,-1.85,0.542,0.714,Low Elo 1726: xG disadvantaged vs top teams
CZE,1740.0,0.00734,0.00296,NOT_SAVED,34,29,-0.44,0.581,0.742,Low Elo 1740: xG disadvantaged vs top teams
ALG,1760.0,0.01082,0.00279,NOT_SAVED,28,30,-0.8,0.641,0.783,Low Elo 1760: xG disadvantaged vs top teams
PAN,1730.0,0.0053,0.002,NOT_SAVED,37,31,-0.33,0.553,0.722,Low Elo 1730: xG disadvantaged vs top teams
SWE,1712.0,0.01301,0.00188,NOT_SAVED,23,32,-1.11,0.506,0.687,Low Elo 1712: xG disadvantaged vs top teams
EGY,1696.0,0.00737,0.00144,NOT_SAVED,33,33,-0.59,0.467,0.658,Low Elo 1696: xG disadvantaged vs top teams
CIV,1695.0,0.00799,0.00144,NOT_SAVED,32,34,-0.66,0.465,0.656,Low Elo 1695: xG disadvantaged vs top teams
UZB,1718.0,0.00441,0.00131,NOT_SAVED,39,35,-0.31,0.521,0.699,Low Elo 1718: xG disadvantaged vs top teams
JOR,1680.0,0.00283,0.00064,NOT_SAVED,46,36,-0.22,0.432,0.63,Low Elo 1680: xG disadvantaged vs top teams
COD,1661.0,0.00306,0.0005,NOT_SAVED,44,37,-0.26,0.393,0.598,Low Elo 1661: xG disadvantaged vs top teams
TUN,1628.0,0.00839,0.00045,NOT_SAVED,31,38,-0.79,0.334,0.547,Low Elo 1628: xG disadvantaged vs top teams
BIH,1595.0,0.00619,0.00039,NOT_SAVED,36,39,-0.58,0.284,0.5,Low Elo 1595: xG disadvantaged vs top teams
IRQ,1618.0,0.00385,0.00025,NOT_SAVED,40,40,-0.36,0.318,0.532,Low Elo 1618: xG disadvantaged vs top teams
CPV,1578.0,0.0035,0.00014,NOT_SAVED,41,41,-0.34,0.261,0.477,Low Elo 1578: xG disadvantaged vs top teams
NZL,1562.0,0.00297,0.00012,NOT_SAVED,45,42,-0.29,0.241,0.457,Low Elo 1562: xG disadvantaged vs top teams
KSA,1569.0,0.00474,0.0001,NOT_SAVED,38,43,-0.46,0.249,0.466,Low Elo 1569: xG disadvantaged vs top teams
HAI,1548.0,0.00212,0.0001,NOT_SAVED,48,44,-0.2,0.225,0.44,Low Elo 1548: xG disadvantaged vs top teams
RSA,1518.0,0.00344,6e-05,NOT_SAVED,42,45,-0.34,0.194,0.406,Low Elo 1518: xG disadvantaged vs top teams
GHA,1510.0,0.00644,4e-05,NOT_SAVED,35,46,-0.64,0.186,0.397,Low Elo 1510: xG disadvantaged vs top teams
QAT,1421.0,0.00307,1e-05,NOT_SAVED,43,47,-0.31,0.12,0.312,Low Elo 1421: xG disadvantaged vs top teams
CUW,1434.0,0.00222,0.0,NOT_SAVED,47,48,-0.22,0.128,0.323,Low Elo 1434: xG disadvantaged vs top teams
