model,split,bucket_min,bucket_max,predicted_mean,observed_frequency,count,abs_error
elo_calib,train_pre2015_test_2015_2018,0.0,0.1,0.0683,0.0354,509,0.0329
elo_calib,train_pre2015_test_2015_2018,0.1,0.2,0.1586,0.1474,2212,0.0112
elo_calib,train_pre2015_test_2015_2018,0.2,0.3,0.2508,0.2437,3628,0.0072
elo_calib,train_pre2015_test_2015_2018,0.3,0.4,0.3339,0.3332,1903,0.0007
elo_calib,train_pre2015_test_2015_2018,0.4,0.5,0.4505,0.4565,966,0.006
elo_calib,train_pre2015_test_2015_2018,0.5,0.6,0.5481,0.577,825,0.0288
elo_calib,train_pre2015_test_2015_2018,0.6,0.7,0.6463,0.6648,701,0.0185
elo_calib,train_pre2015_test_2015_2018,0.7,0.8,0.7467,0.7797,463,0.033
elo_calib,train_pre2015_test_2015_2018,0.8,0.9,0.8383,0.886,193,0.0477
elo_calib,train_pre2015_test_2015_2018,0.9,1.0,0.9221,0.9722,36,0.0501
hybrid,train_pre2015_test_2015_2018,0.0,0.1,0.0445,0.0851,1716,0.0406
hybrid,train_pre2015_test_2015_2018,0.1,0.2,0.153,0.1791,1848,0.0261
hybrid,train_pre2015_test_2015_2018,0.2,0.3,0.2544,0.2697,3033,0.0153
hybrid,train_pre2015_test_2015_2018,0.3,0.4,0.3381,0.3306,1464,0.0075
hybrid,train_pre2015_test_2015_2018,0.4,0.5,0.449,0.4468,855,0.0022
hybrid,train_pre2015_test_2015_2018,0.5,0.6,0.5484,0.5134,709,0.035
hybrid,train_pre2015_test_2015_2018,0.6,0.7,0.6489,0.592,603,0.0569
hybrid,train_pre2015_test_2015_2018,0.7,0.8,0.7481,0.6756,450,0.0725
hybrid,train_pre2015_test_2015_2018,0.8,0.9,0.8472,0.7642,369,0.083
hybrid,train_pre2015_test_2015_2018,0.9,1.0,0.9594,0.8843,389,0.075
elo_calib,train_pre2019_test_2019_2022,0.0,0.1,0.0649,0.0328,580,0.0322
elo_calib,train_pre2019_test_2019_2022,0.1,0.2,0.1566,0.1229,2197,0.0337
elo_calib,train_pre2019_test_2019_2022,0.2,0.3,0.252,0.2385,3296,0.0136
elo_calib,train_pre2019_test_2019_2022,0.3,0.4,0.334,0.337,1632,0.003
elo_calib,train_pre2019_test_2019_2022,0.4,0.5,0.4506,0.4972,897,0.0466
elo_calib,train_pre2019_test_2019_2022,0.5,0.6,0.5482,0.5628,725,0.0146
elo_calib,train_pre2019_test_2019_2022,0.6,0.7,0.6491,0.7063,664,0.0572
elo_calib,train_pre2019_test_2019_2022,0.7,0.8,0.7446,0.8079,453,0.0633
