r,cap,n,mean_rank,rank_0_1,rank_2_3,rank_4,rank_5plus,blowout_rank,blowout_n,top3_cov,top10_cov,blowout_top10_cov,brier_wdl,rps,nll_wdl,outcome_acc,ece,verdict,passes
2.0,3.6,10555,8.035907153008052,1.9555084745762712,5.897071678321678,11.309778729478944,20.876861397479953,16.008592200925314,3026,0.29805779251539555,0.7447655139744197,0.29676140118968936,0.5741641899445116,0.20116593283644457,0.9682512892884919,0.583704405495026,0.13320506297419987,FAIL — no material rank improvement,False
4.0,3.6,10555,7.977546186641402,2.1119350282485874,5.6260926573426575,11.149179157744468,21.109392898052693,16.42498347653668,3026,0.3237328280435812,0.7482709616295594,0.2779246530072703,0.5649126683256309,0.19709578487307952,0.9551577080691447,0.583041212695405,0.11516721463669037,FAIL — no material rank improvement,False
6.0,3.6,10555,7.9650402652771195,2.582274011299435,5.26638986013986,11.076374018558173,21.27205040091638,16.647719762062128,3026,0.32979630506868785,0.7489341544291804,0.2534699272967614,0.5618769152193048,0.19570219078284937,0.9506483480261065,0.583704405495026,0.1101125888996526,FAIL — no material rank improvement,False
8.0,3.6,10555,7.9728090952155375,2.6846751412429377,5.19645979020979,11.027123483226267,21.375715922107673,16.774950429610048,3026,0.33415442918048316,0.7498815727143534,0.23198942498347655,0.5603741613838591,0.19500033711992565,0.9483599636673847,0.583704405495026,0.10728711277237953,FAIL — no material rank improvement,False
12.0,3.6,10555,7.992515395547134,2.838276836158192,5.126311188811189,10.970735189150608,21.47479954180985,16.907468605419695,3026,0.3371861676930365,0.7500710563713879,0.20522141440846,0.5588854490523979,0.19429594775153783,0.9460496577680239,0.583704405495026,0.10448944497945763,FAIL — no material rank improvement,False
20.0,3.6,10555,8.021506395073425,3.003531073446328,5.058784965034965,10.937187723054961,21.585910652920962,17.032716457369464,3026,0.33548081477972524,0.7497868308858361,0.18935888962326503,0.5577074633973598,0.19373112647301433,0.944187102480459,0.583704405495026,0.1022735190957758,FAIL — no material rank improvement,False
inf,3.6,10555,8.080246328754145,3.3269774011299433,4.9348776223776225,10.885795860099929,21.782359679266897,17.211500330469267,3026,0.330838465182378,0.7489341544291804,0.18638466622604097,0.5559690908267702,0.19288282814835633,0.941374697316229,0.583041212695405,0.098325621891435,FAIL — no material rank improvement,False
2.0,4.5,10555,8.035149218379916,1.9555084745762712,5.896853146853147,11.309778729478944,20.872852233676976,16.006278916060808,3026,0.29805779251539555,0.744860255802937,0.29709187045604757,0.5741526548024573,0.20116206247720542,0.9682292619189629,0.583704405495026,0.13318757276343474,FAIL — no material rank improvement,False
4.0,4.5,10555,7.976409284699194,2.1119350282485874,5.626311188811189,11.147037830121342,21.103665521191296,16.420687376074024,3026,0.3240170535291331,0.7483657034580767,0.27825512227362853,0.5649042602686603,0.1970930033556842,0.9551358064249184,0.583041212695405,0.11514833764866277,FAIL — no material rank improvement,False
6.0,4.5,10555,7.9639033633349126,2.582274011299435,5.26638986013986,11.076374018558173,21.265177548682704,16.64375413086583,3026,0.32979630506868785,0.7492183799147324,0.25446133509583607,0.5618699011091716,0.19569989033624574,0.9506269014746612,0.583704405495026,0.11009358532513977,FAIL — no material rank improvement,False
