team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob
ESP,0.97987,0.70407,0.50552,0.3751,0.26305,0.17304,0.09001,0.07741,0.03464
ARG,0.95358,0.64785,0.49081,0.34341,0.23243,0.14838,0.08405,0.0757,0.03528
FRA,0.91408,0.66431,0.44683,0.29031,0.16726,0.09652,0.07074,0.07679,0.04626
ENG,0.93491,0.61221,0.37704,0.22582,0.12761,0.06888,0.05873,0.05888,0.03933
BRA,0.92327,0.58857,0.35901,0.20918,0.10901,0.05601,0.053,0.05859,0.04158
POR,0.87935,0.54917,0.31821,0.17764,0.09828,0.04911,0.04917,0.04474,0.03462
COL,0.88122,0.55121,0.31954,0.17713,0.0955,0.04743,0.04807,0.04515,0.03648
NED,0.86563,0.49528,0.29011,0.15125,0.07011,0.03222,0.03789,0.04234,0.0388
ECU,0.92183,0.55062,0.28454,0.15283,0.07085,0.03209,0.03876,0.04212,0.03986
GER,0.90842,0.53787,0.27991,0.15087,0.06909,0.03084,0.03825,0.04148,0.0403
MEX,0.98163,0.60719,0.3058,0.14916,0.06496,0.02776,0.0372,0.04106,0.04314
JPN,0.84298,0.46189,0.25422,0.12306,0.05466,0.02356,0.0311,0.03293,0.03547
NOR,0.77376,0.45583,0.2488,0.12349,0.05452,0.02332,0.0312,0.03313,0.03584
CRO,0.85531,0.45744,0.22639,0.11418,0.05289,0.02224,0.03065,0.02983,0.03146
BEL,0.87873,0.50705,0.25626,0.10906,0.05043,0.02085,0.02958,0.02776,0.03087
SUI,0.91932,0.54356,0.26547,0.11413,0.05036,0.02076,0.0296,0.02892,0.03485
URU,0.85633,0.40074,0.22231,0.1088,0.0507,0.02013,0.03057,0.02762,0.03048
TUR,0.79816,0.47429,0.23418,0.10251,0.04717,0.01969,0.02748,0.02622,0.02912
SEN,0.71326,0.38987,0.19851,0.08816,0.03629,0.01417,0.02212,0.02259,0.02928
MAR,0.75816,0.36415,0.17035,0.07149,0.02721,0.00989,0.01732,0.01814,0.02614
CAN,0.84339,0.45023,0.19873,0.07581,0.02801,0.00987,0.01814,0.01892,0.02888
AUT,0.68306,0.26056,0.12188,0.05184,0.02065,0.00719,0.01346,0.01246,0.01873
USA,0.92871,0.45593,0.17437,0.05554,0.01868,0.00548,0.0132,0.01297,0.02389
PAR,0.3997,0.19845,0.08564,0.03621,0.01434,0.00547,0.00887,0.00961,0.01226
KOR,0.94061,0.46189,0.17317,0.06098,0.01822,0.00533,0.01289,0.01475,0.02801
IRN,0.75349,0.3437,0.13224,0.04503,0.01574,0.00509,0.01065,0.01074,0.01855
SCO,0.69263,0.29295,0.12249,0.04425,0.01469,0.00454,0.01015,0.01044,0.01912
AUS,0.61001,0.28938,0.11095,0.03949,0.01408,0.00441,0.00967,0.00933,0.01608
ALG,0.5702,0.18662,0.07612,0.02673,0.00877,0.00262,0.00615,0.00617,0.01179
CZE,0.55169,0.22794,0.08084,0.02748,0.00832,0.00223,0.00609,0.00656,0.0126
PAN,0.63532,0.22662,0.07764,0.02568,0.00749,0.002,0.00549,0.0057,0.01249
SWE,0.55706,0.20703,0.07509,0.02323,0.00641,0.00173,0.00468,0.00558,0.01124
EGY,0.64051,0.24239,0.07805,0.02278,0.0065,0.00158,0.00492,0.00517,0.01111
CIV,0.6345,0.23269,0.07303,0.02184,0.00586,0.00142,0.00444,0.00458,0.0114
UZB,0.49937,0.17533,0.05621,0.01821,0.00506,0.00137,0.00369,0.0039,0.00925
JOR,0.42224,0.11347,0.0379,0.01013,0.00266,0.00055,0.00211,0.00209,0.00538
COD,0.39595,0.11576,0.03278,0.00895,0.00226,0.00048,0.00178,0.00177,0.00492
TUN,0.41136,0.12618,0.03668,0.00888,0.00201,0.00046,0.00155,0.00156,0.00531
BIH,0.64461,0.21031,0.05744,0.01109,0.00242,0.00045,0.00197,0.00186,0.00681
IRQ,0.28331,0.08854,0.02568,0.00566,0.00115,0.0002,0.00095,0.00091,0.0036
KSA,0.3442,0.07842,0.02201,0.00422,0.00094,0.00018,0.00076,0.00067,0.00261
CPV,0.36564,0.08364,0.02439,0.00507,0.00117,0.00016,0.00101,0.00076,0.00314
NZL,0.41257,0.10556,0.02243,0.00454,0.00081,0.00013,0.00068,0.00077,0.00296
HAI,0.30287,0.07107,0.01569,0.00304,0.00051,9e-05,0.00042,0.00054,0.00199
GHA,0.24143,0.04817,0.00968,0.00181,0.00036,4e-05,0.00032,0.00027,0.00118
RSA,0.22149,0.05287,0.01074,0.00197,0.0003,3e-05,0.00027,0.00025,0.00142
QAT,0.27229,0.05494,0.00935,0.00127,0.00014,1e-05,0.00013,0.00015,0.00098
CUW,0.20199,0.03619,0.00497,0.00069,7e-05,0.0,7e-05,0.00012,0.0005
