team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob
ESP,0.98604,0.72563,0.53054,0.40728,0.28857,0.19165,0.09692,0.08426,0.03445
ARG,0.96546,0.66529,0.51773,0.37227,0.25185,0.16058,0.09127,0.08416,0.03626
FRA,0.92862,0.69313,0.47413,0.31614,0.18545,0.10688,0.07857,0.08492,0.04577
ENG,0.94941,0.63541,0.39738,0.23895,0.1348,0.07025,0.06455,0.06278,0.04137
BRA,0.93877,0.60757,0.37584,0.21982,0.1122,0.05654,0.05566,0.06182,0.0458
POR,0.89459,0.57164,0.32995,0.1814,0.09893,0.04933,0.0496,0.04515,0.03732
COL,0.8991,0.5742,0.33069,0.1803,0.09733,0.04674,0.05059,0.04558,0.03739
NED,0.88879,0.51446,0.30519,0.15439,0.07117,0.03234,0.03883,0.04261,0.04061
ECU,0.93459,0.56871,0.28888,0.15634,0.06954,0.03021,0.03933,0.04254,0.04426
GER,0.92342,0.5583,0.28505,0.15321,0.06834,0.02919,0.03915,0.04208,0.04279
MEX,0.98457,0.61031,0.30096,0.1384,0.05719,0.02277,0.03442,0.038,0.04321
JPN,0.86139,0.4653,0.2583,0.12384,0.053,0.02229,0.03071,0.03297,0.03787
NOR,0.78996,0.46776,0.25075,0.12278,0.05318,0.0221,0.03108,0.03331,0.03629
CRO,0.86966,0.46527,0.22627,0.1109,0.05031,0.02068,0.02963,0.02828,0.03231
BEL,0.90061,0.53153,0.26833,0.10774,0.04808,0.01929,0.02879,0.02685,0.03281
SUI,0.93736,0.57369,0.27831,0.11431,0.04848,0.0185,0.02998,0.02907,0.03676
URU,0.87555,0.39284,0.21674,0.10504,0.0467,0.01811,0.02859,0.02656,0.03178
TUR,0.822,0.5011,0.24444,0.10339,0.04586,0.01782,0.02804,0.02714,0.03039
SEN,0.7219,0.39205,0.19664,0.08355,0.03296,0.01199,0.02097,0.02164,0.02895
MAR,0.77149,0.35919,0.16798,0.06702,0.0233,0.00746,0.01584,0.01733,0.02639
CAN,0.85369,0.44885,0.19037,0.06527,0.02182,0.00691,0.01491,0.01619,0.02726
AUT,0.69177,0.24867,0.11556,0.04784,0.01797,0.00582,0.01215,0.01113,0.01874
PAR,0.39944,0.1979,0.08128,0.03321,0.01284,0.00457,0.00827,0.00805,0.01232
KOR,0.94291,0.45945,0.16584,0.05458,0.01532,0.00421,0.01111,0.01291,0.02635
IRN,0.76992,0.34276,0.12677,0.04048,0.01318,0.00372,0.00946,0.00889,0.01841
USA,0.92371,0.44213,0.15586,0.04563,0.01362,0.00351,0.01011,0.0103,0.02171
SCO,0.70133,0.28841,0.11804,0.04014,0.01214,0.00317,0.00897,0.00988,0.01812
AUS,0.60256,0.28307,0.10261,0.03415,0.01054,0.00292,0.00762,0.00816,0.01545
ALG,0.56476,0.17191,0.06832,0.02254,0.00687,0.0018,0.00507,0.00509,0.01058
CZE,0.57953,0.2302,0.07788,0.02379,0.00649,0.00171,0.00478,0.00523,0.01207
PAN,0.63058,0.2085,0.06748,0.02036,0.00579,0.00123,0.00456,0.00454,0.01003
SWE,0.54318,0.19207,0.0652,0.01875,0.00507,0.00123,0.00384,0.00413,0.00955
CIV,0.63583,0.22371,0.06408,0.01833,0.00454,0.00105,0.00349,0.00386,0.00993
EGY,0.63798,0.22903,0.068,0.01767,0.00436,0.00093,0.00343,0.00367,0.00964
UZB,0.48388,0.1575,0.04761,0.01373,0.00327,0.00085,0.00242,0.00295,0.00751
JOR,0.39854,0.09487,0.03023,0.00747,0.0018,0.00036,0.00144,0.00151,0.00416
COD,0.37135,0.0999,0.02536,0.00614,0.00121,0.00029,0.00092,0.00108,0.00385
BIH,0.6553,0.19803,0.04889,0.00778,0.00157,0.00028,0.00129,0.00136,0.00485
TUN,0.37865,0.10692,0.03034,0.00686,0.00136,0.00024,0.00112,0.00129,0.00421
IRQ,0.24743,0.0716,0.01882,0.00372,0.00072,0.00015,0.00057,0.00063,0.00237
CPV,0.35023,0.07168,0.01889,0.0033,0.00072,0.00012,0.0006,0.00052,0.00206
KSA,0.32241,0.06499,0.0169,0.0028,0.00044,0.0001,0.00034,0.00042,0.00194
NZL,0.37957,0.08744,0.0157,0.00273,0.00042,4e-05,0.00038,0.00042,0.00189
HAI,0.26661,0.05618,0.01171,0.00207,0.00027,2e-05,0.00025,0.00033,0.00147
GHA,0.21037,0.03594,0.00625,0.00095,0.00016,2e-05,0.00014,0.00012,0.00067
RSA,0.20076,0.04493,0.00805,0.00141,0.00012,2e-05,0.0001,0.00019,0.0011
CUW,0.17403,0.02657,0.00332,0.00044,4e-05,1e-05,3e-05,7e-05,0.00033
QAT,0.2404,0.04341,0.00654,0.00079,0.00011,0.0,0.00011,3e-05,0.00065
