team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob
ESP,0.98119,0.7048,0.5074,0.37764,0.26246,0.17087,0.09159,0.0795,0.03568
ARG,0.95422,0.6521,0.4924,0.34507,0.23142,0.14587,0.08555,0.07827,0.03538
FRA,0.91307,0.66868,0.44864,0.29263,0.17202,0.09892,0.0731,0.07604,0.04457
ENG,0.93576,0.61029,0.37567,0.22579,0.12763,0.06846,0.05917,0.05914,0.03902
BRA,0.9238,0.58868,0.35908,0.20677,0.10666,0.05557,0.05109,0.0574,0.04271
POR,0.87862,0.54954,0.31863,0.1756,0.0958,0.04893,0.04687,0.04373,0.03607
COL,0.88271,0.55266,0.31702,0.17621,0.09679,0.04853,0.04826,0.04421,0.03521
NED,0.86731,0.49856,0.29294,0.15215,0.07178,0.03297,0.03881,0.04222,0.03815
ECU,0.92013,0.55311,0.28317,0.15217,0.07009,0.03165,0.03844,0.04204,0.04004
GER,0.9077,0.54003,0.2784,0.14906,0.0684,0.03092,0.03748,0.04073,0.03993
MEX,0.98234,0.60676,0.30502,0.14962,0.06481,0.02773,0.03708,0.04137,0.04344
NOR,0.77444,0.45306,0.24817,0.12183,0.05393,0.02307,0.03086,0.0328,0.0351
BEL,0.88019,0.50524,0.25815,0.11135,0.05242,0.02262,0.0298,0.02685,0.03208
JPN,0.84373,0.46103,0.2534,0.12174,0.05363,0.02246,0.03117,0.03343,0.03468
CRO,0.85483,0.45722,0.22565,0.11203,0.05176,0.02194,0.02982,0.02912,0.03115
URU,0.8563,0.39792,0.21938,0.10889,0.05148,0.02092,0.03056,0.02695,0.03046
SUI,0.9195,0.54627,0.26576,0.11383,0.04959,0.02004,0.02955,0.02987,0.03437
TUR,0.79859,0.47553,0.23307,0.1032,0.04739,0.01974,0.02765,0.02589,0.02992
SEN,0.71387,0.39005,0.19738,0.0885,0.03589,0.01443,0.02146,0.02331,0.0293
MAR,0.75902,0.36319,0.16975,0.07213,0.02656,0.00956,0.017,0.01821,0.02736
CAN,0.83909,0.43522,0.18735,0.0693,0.02474,0.00856,0.01618,0.01759,0.02697
USA,0.94097,0.48239,0.1963,0.0667,0.02452,0.00784,0.01668,0.0156,0.02658
KOR,0.94712,0.47931,0.1893,0.07064,0.02307,0.00741,0.01566,0.01748,0.03009
AUT,0.68485,0.26195,0.12497,0.05303,0.02068,0.0073,0.01338,0.01281,0.01954
IRN,0.75473,0.3389,0.13124,0.04434,0.01638,0.00506,0.01132,0.01031,0.01765
SCO,0.69472,0.29424,0.12256,0.04461,0.01405,0.00465,0.0094,0.01119,0.01937
PAR,0.37375,0.17711,0.0712,0.02964,0.01088,0.00416,0.00672,0.00723,0.01153
AUS,0.61197,0.28927,0.10829,0.03764,0.01287,0.0041,0.00877,0.00985,0.01492
ALG,0.56828,0.18803,0.07829,0.02715,0.0095,0.00266,0.00684,0.00622,0.01143
PAN,0.63479,0.22666,0.07797,0.02572,0.00812,0.00212,0.006,0.00573,0.01187
CZE,0.52933,0.20811,0.07145,0.02314,0.00612,0.00178,0.00434,0.00501,0.01201
SWE,0.55555,0.20507,0.07445,0.02294,0.00662,0.00177,0.00485,0.00472,0.0116
EGY,0.63746,0.24072,0.07613,0.02213,0.00661,0.00169,0.00492,0.00466,0.01086
CIV,0.63685,0.23302,0.0737,0.02198,0.00572,0.00145,0.00427,0.00481,0.01145
UZB,0.502,0.17346,0.05682,0.01787,0.00546,0.00144,0.00402,0.0034,0.00901
BIH,0.6539,0.21245,0.05881,0.01216,0.00261,0.00056,0.00205,0.00216,0.00739
JOR,0.42106,0.11198,0.03754,0.01004,0.00264,0.00054,0.0021,0.00215,0.00525
TUN,0.412,0.12648,0.03665,0.0093,0.002,0.00047,0.00153,0.00175,0.00555
COD,0.39726,0.11724,0.03237,0.00842,0.00197,0.00042,0.00155,0.00175,0.0047
IRQ,0.28672,0.08988,0.02605,0.0057,0.00127,0.00029,0.00098,0.00108,0.00335
CPV,0.36528,0.08502,0.02405,0.00456,0.00096,0.00017,0.00079,0.00073,0.00287
KSA,0.34591,0.07935,0.02226,0.00422,0.00077,0.00013,0.00064,0.00063,0.00282
HAI,0.30337,0.07215,0.01634,0.00326,0.00055,0.00011,0.00044,0.00052,0.00219
NZL,0.41517,0.10635,0.0228,0.00436,0.00083,8e-05,0.00075,0.00083,0.0027
RSA,0.22731,0.05584,0.0109,0.00209,0.00021,3e-05,0.00018,0.00032,0.00156
GHA,0.24009,0.04742,0.00934,0.00147,0.00025,1e-05,0.00024,0.00021,0.00101
QAT,0.26977,0.05138,0.00856,0.00087,6e-05,0.0,6e-05,0.0001,0.00071
CUW,0.20338,0.03628,0.00523,0.00051,3e-05,0.0,3e-05,8e-05,0.0004
