segment,n,matched_model_n,metric,frozen_model,market,blend_best,best_alpha
2018,64,64,rps,0.23579779805552023,0.19670703266198097,0.19670703266198097,1.0
2018,64,64,nll,1.0566874762711491,0.9418465605537785,0.9418465605537785,1.0
2018,64,64,brier,0.6378300894972777,0.557257601578199,0.557257601578199,1.0
2018,64,64,acc,0.46875,0.5625,,1.0
2022,64,64,rps,0.23237009837129577,0.20721261031115956,0.20660839848786408,0.9
2022,64,64,nll,1.0687874127531098,0.998229660400973,0.992463469979632,0.9
2022,64,64,brier,0.6447916483877434,0.5833948371718098,0.5829848236917737,0.9
2022,64,64,acc,0.484375,0.53125,,0.9
pooled_2018_2022,128,128,rps,0.234083948213408,0.20195982148657027,0.20195982148657027,1.0
pooled_2018_2022,128,128,nll,1.0627374445121291,0.9700381104773756,0.9700381104773756,1.0
pooled_2018_2022,128,128,brier,0.6413108689425104,0.5703262193750044,0.5703262193750044,1.0
pooled_2018_2022,128,128,acc,0.4765625,0.546875,,1.0
pooled_all,128,128,rps,0.234083948213408,0.20195982148657027,0.20195982148657027,1.0
pooled_all,128,128,nll,1.0627374445121291,0.9700381104773756,0.9700381104773756,1.0
pooled_all,128,128,brier,0.6413108689425104,0.5703262193750044,0.5703262193750044,1.0
pooled_all,128,128,acc,0.4765625,0.546875,,1.0
