segment,n,metric,full_production,market,blend_best,best_alpha
AFCON,100,rps,0.2073,0.1942,0.1942,1.0
AFCON,100,nll,0.9927,0.9581,0.9581,1.0
AFCON,100,brier,0.5929,0.5695,0.5695,1.0
AFCON,100,acc,0.54,0.55,0.55,1.0
AFCON,100,ece,0.0797,0.0437,0.0437,1.0
Asian Cup,44,rps,0.2124,0.1575,0.1575,1.0
Asian Cup,44,nll,0.9595,0.7913,0.7913,1.0
Asian Cup,44,brier,0.5694,0.4491,0.4491,1.0
Asian Cup,44,acc,0.5455,0.6591,0.6591,1.0
Asian Cup,44,ece,0.1084,0.1424,0.1424,1.0
Copa America,33,rps,0.1692,0.1382,0.1382,1.0
Copa America,33,nll,0.9945,0.8657,0.8657,1.0
Copa America,33,brier,0.5979,0.5214,0.5214,1.0
Copa America,33,acc,0.5152,0.5758,0.5758,1.0
Copa America,33,ece,0.2056,0.1042,0.1042,1.0
Euro,51,rps,0.1908,0.1863,0.1859,0.8
Euro,51,nll,0.9498,0.9491,0.9448,0.8
Euro,51,brier,0.5629,0.5653,0.5619,0.8
Euro,51,acc,0.6078,0.6078,0.6078,0.8
Euro,51,ece,0.1652,0.2255,0.1915,0.8
World Cup,128,rps,0.2338,0.202,0.202,1.0
World Cup,128,nll,1.0618,0.97,0.97,1.0
World Cup,128,brier,0.6403,0.5703,0.5703,1.0
World Cup,128,acc,0.4922,0.5469,0.5469,1.0
World Cup,128,ece,0.1089,0.0469,0.0469,1.0
pooled_ALL,356,rps,0.2116,0.1861,0.1861,1.0
pooled_ALL,356,nll,1.0075,0.9319,0.9319,1.0
pooled_ALL,356,brier,0.6032,0.5498,0.5498,1.0
pooled_ALL,356,acc,0.5309,0.573,0.573,1.0
pooled_ALL,356,ece,0.0699,0.0496,0.0496,1.0
pooled_nonWC,228,rps,0.1991,0.1773,0.1773,1.0
pooled_nonWC,228,nll,0.977,0.9105,0.9105,1.0
pooled_nonWC,228,brier,0.5823,0.5383,0.5383,1.0
pooled_nonWC,228,acc,0.5526,0.5877,0.5877,1.0
pooled_nonWC,228,ece,0.0834,0.0569,0.0569,1.0
pooled_WC,128,rps,0.2338,0.202,0.202,1.0
pooled_WC,128,nll,1.0618,0.97,0.97,1.0
pooled_WC,128,brier,0.6403,0.5703,0.5703,1.0
pooled_WC,128,acc,0.4922,0.5469,0.5469,1.0
pooled_WC,128,ece,0.1089,0.0469,0.0469,1.0
pre_2022,244,rps,0.2049,0.1734,0.1734,1.0
pre_2022,244,nll,0.9945,0.8965,0.8965,1.0
pre_2022,244,brier,0.5941,0.5289,0.5289,1.0
pre_2022,244,acc,0.5492,0.5984,0.5984,1.0
pre_2022,244,ece,0.0824,0.0614,0.0614,1.0
post_2022,112,rps,0.226,0.2138,0.2127,0.8
post_2022,112,nll,1.0356,1.009,1.0002,0.8
post_2022,112,brier,0.6231,0.5955,0.5934,0.8
post_2022,112,acc,0.4911,0.5179,0.5357,0.8
post_2022,112,ece,0.1178,0.0688,0.0502,0.8
