alpha,S_mode,S,match_rps,match_nll,match_ece,match_acc,drps_vs_prod,rps_beats_prod,gain_retained_vs_naive,champ_top1,champ_top3,champ_entropy,champ_n_ge1pct,d_top3,d_entropy,champion_safe,PASS
0.25,none,1.0,0.202,0.9794,0.0922,0.565,-0.0109,True,1.0,0.2736,0.5685,3.421,13,0.051,0.22,False,False
0.25,match_conf_restore,0.903,0.2039,0.9853,0.0951,0.565,-0.0091,True,0.831,0.2474,0.5305,3.577,14,0.013,0.064,True,True
0.25,S=0.7,0.7,0.209,1.0015,0.1263,0.565,-0.004,True,0.365,0.1893,0.4359,3.981,17,-0.0816,-0.34,True,True
0.25,S=0.8,0.8,0.2063,0.9928,0.1109,0.565,-0.0067,True,0.613,0.2233,0.4875,3.773,16,-0.03,-0.132,True,True
0.25,S=0.9,0.9,0.2039,0.9855,0.0955,0.565,-0.009,True,0.825,0.252,0.5291,3.583,14,0.0116,0.058,True,True
0.4,none,1.0,0.1968,0.9642,0.0709,0.567,-0.0162,True,1.0,0.2986,0.6014,3.277,13,0.0839,0.364,False,False
0.4,match_conf_restore,0.834,0.2005,0.9759,0.1053,0.567,-0.0124,True,0.77,0.2466,0.5293,3.593,14,0.0118,0.048,True,True
0.4,S=0.7,0.7,0.2045,0.9884,0.1202,0.567,-0.0085,True,0.525,0.2151,0.4704,3.854,18,-0.0471,-0.213,True,True
0.4,S=0.8,0.8,0.2015,0.9788,0.1146,0.567,-0.0115,True,0.713,0.2382,0.517,3.656,14,-0.0005,-0.015,True,True
0.4,S=0.9,0.9,0.1989,0.9708,0.098,0.567,-0.0141,True,0.871,0.2626,0.567,3.433,13,0.0495,0.208,False,False
0.6,none,1.0,0.1915,0.9482,0.0582,0.573,-0.0215,True,1.0,0.3191,0.6375,3.1,12,0.12,0.541,False,False
0.6,match_conf_restore,0.746,0.1976,0.968,0.104,0.573,-0.0153,True,0.713,0.2447,0.5264,3.609,14,0.0089,0.032,True,True
0.6,S=0.7,0.7,0.1992,0.9728,0.1121,0.573,-0.0138,True,0.642,0.2364,0.5071,3.696,14,-0.0104,-0.055,True,True
0.6,S=0.8,0.8,0.196,0.9627,0.1011,0.573,-0.017,True,0.789,0.2682,0.561,3.449,14,0.0435,0.192,False,False
0.6,S=0.9,0.9,0.1934,0.9545,0.0783,0.573,-0.0195,True,0.908,0.2895,0.5955,3.293,12,0.078,0.348,False,False
