team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob,champion_ci_low,champion_ci_high,final_ci_low,final_ci_high,sf_ci_low,sf_ci_high,group_ci_low,group_ci_high
ESP,0.98091,0.70314,0.50356,0.37344,0.26098,0.1697,0.09128,0.07737,0.03509,0.167386,0.172039,0.258267,0.263711,0.370447,0.376443,0.980043,0.98174
ARG,0.9544,0.6464,0.48799,0.34347,0.23112,0.14761,0.08351,0.07571,0.03664,0.145425,0.149822,0.228518,0.233743,0.340533,0.346419,0.953089,0.955676
FRA,0.91369,0.66887,0.44843,0.29298,0.17216,0.10033,0.07183,0.07659,0.04423,0.098483,0.102208,0.169833,0.174512,0.290167,0.295809,0.911934,0.915415
ENG,0.93604,0.61253,0.37917,0.22675,0.12662,0.06708,0.05954,0.06009,0.04004,0.065546,0.068647,0.124573,0.128695,0.224165,0.229356,0.934507,0.93754
BRA,0.9236,0.59149,0.35913,0.21075,0.10992,0.05692,0.053,0.05861,0.04222,0.055501,0.058373,0.107996,0.111874,0.208233,0.213289,0.921937,0.92523
COL,0.88118,0.55208,0.31921,0.1766,0.09608,0.04821,0.04787,0.04478,0.03574,0.0469,0.049555,0.094269,0.097922,0.174249,0.178976,0.87916,0.883171
POR,0.87855,0.55168,0.32145,0.17562,0.09544,0.04811,0.04733,0.04576,0.03442,0.046801,0.049454,0.093634,0.097277,0.173274,0.177991,0.876511,0.88056
NED,0.86955,0.5012,0.29268,0.15232,0.07164,0.03297,0.03867,0.0407,0.03998,0.031881,0.034095,0.070058,0.073255,0.150106,0.154561,0.867448,0.871623
ECU,0.92171,0.54867,0.28237,0.15148,0.06919,0.03089,0.0383,0.04151,0.04078,0.029836,0.031981,0.067634,0.07078,0.149271,0.153715,0.920029,0.923359
GER,0.90945,0.53881,0.27999,0.14762,0.0674,0.03022,0.03718,0.04078,0.03944,0.029177,0.031299,0.065863,0.068971,0.145435,0.149832,0.907656,0.911213
MEX,0.90513,0.55254,0.278,0.13545,0.05916,0.02549,0.03367,0.03769,0.0386,0.024531,0.026485,0.057715,0.060639,0.133343,0.137585,0.903298,0.906931
JPN,0.84564,0.46064,0.25346,0.12302,0.05327,0.02367,0.0296,0.03378,0.03597,0.022746,0.024631,0.051895,0.054679,0.120999,0.12507,0.843387,0.847866
NOR,0.77465,0.45369,0.24686,0.1212,0.0543,0.0231,0.0312,0.0325,0.0344,0.022187,0.02405,0.052913,0.055722,0.119192,0.123237,0.77205,0.777229
CRO,0.85622,0.45765,0.23006,0.11492,0.05359,0.02279,0.0308,0.02959,0.03174,0.021883,0.023733,0.052211,0.055003,0.112958,0.116912,0.854032,0.858381
BEL,0.8784,0.50422,0.25482,0.11004,0.05166,0.02178,0.02988,0.02792,0.03046,0.020894,0.022703,0.050305,0.053049,0.108115,0.111995,0.87636,0.880411
SUI,0.92341,0.55103,0.2713,0.11807,0.05223,0.02144,0.03079,0.03085,0.03499,0.02056,0.022356,0.050868,0.053626,0.116085,0.120085,0.921745,0.925042
URU,0.85703,0.40068,0.22023,0.10726,0.04966,0.02021,0.02945,0.02671,0.03089,0.019356,0.021101,0.048331,0.051024,0.105357,0.109193,0.854847,0.859186
TUR,0.80238,0.47881,0.23614,0.10075,0.04599,0.01882,0.02717,0.02583,0.02893,0.017996,0.019681,0.044709,0.047306,0.0989,0.102631,0.7999,0.804836
SEN,0.71589,0.39142,0.19681,0.08959,0.03715,0.01446,0.02269,0.02248,0.02996,0.013739,0.015219,0.035995,0.03834,0.087836,0.091376,0.713086,0.718677
PAR,0.71295,0.38738,0.17203,0.06977,0.0289,0.01091,0.01799,0.01706,0.02381,0.010285,0.011573,0.02788,0.029957,0.068207,0.071366,0.710138,0.715746
CAN,0.88517,0.47826,0.2085,0.0789,0.0299,0.01029,0.01961,0.0196,0.0294,0.009683,0.010935,0.028862,0.030974,0.077245,0.080587,0.883179,0.887131
MAR,0.75921,0.36739,0.17392,0.0727,0.0271,0.0097,0.0174,0.01871,0.02689,0.009111,0.010327,0.026112,0.028125,0.071107,0.074326,0.75655,0.76185
AUT,0.68409,0.2641,0.12511,0.0529,0.02139,0.00781,0.01358,0.01273,0.01878,0.007283,0.008375,0.020511,0.022305,0.05153,0.054305,0.681202,0.686964
IRN,0.75599,0.33979,0.13021,0.04391,0.0154,0.00476,0.01064,0.01035,0.01816,0.004352,0.005206,0.014655,0.016182,0.042657,0.045198,0.753318,0.758642
SCO,0.69465,0.30087,0.12558,0.04633,0.01456,0.00458,0.00998,0.01169,0.02008,0.00418,0.005018,0.013836,0.015321,0.045045,0.04765,0.691788,0.697497
AUS,0.61537,0.294,0.11296,0.04058,0.01394,0.0042,0.00974,0.00996,0.01668,0.003818,0.00462,0.013232,0.014686,0.039375,0.041821,0.61235,0.618381
KOR,0.74378,0.34547,0.12844,0.04542,0.01381,0.00404,0.00977,0.01095,0.02066,0.003665,0.004453,0.013105,0.014552,0.044147,0.046728,0.741065,0.746476
USA,0.58757,0.27242,0.10041,0.03359,0.01151,0.00329,0.00822,0.00768,0.0144,0.002954,0.003665,0.010867,0.01219,0.032491,0.034725,0.584516,0.590618
CZE,0.71217,0.31406,0.11157,0.03715,0.01051,0.00296,0.00755,0.00897,0.01767,0.002642,0.003316,0.009896,0.011161,0.035995,0.03834,0.709356,0.714968
ALG,0.57068,0.18851,0.07869,0.02727,0.00941,0.00279,0.00662,0.006,0.01186,0.002482,0.003137,0.00883,0.010028,0.026279,0.028298,0.567609,0.573745
PAN,0.63615,0.22696,0.07948,0.02626,0.00786,0.002,0.00586,0.00597,0.01243,0.001742,0.002297,0.007331,0.008427,0.025287,0.027269,0.633163,0.639127
SWE,0.55852,0.20702,0.07578,0.02381,0.00697,0.00188,0.00509,0.00519,0.01165,0.00163,0.002168,0.006473,0.007505,0.022883,0.024773,0.55544,0.561595
EGY,0.6414,0.24148,0.07654,0.02158,0.00614,0.00144,0.0047,0.00469,0.01075,0.001223,0.001695,0.005674,0.006644,0.020698,0.022499,0.638422,0.644367
CIV,0.63677,0.23743,0.07464,0.02255,0.00605,0.00144,0.00461,0.00469,0.01181,0.001223,0.001695,0.005588,0.00655,0.021648,0.023489,0.633784,0.639746
UZB,0.50161,0.17384,0.05717,0.018,0.00491,0.00131,0.0036,0.00411,0.00898,0.001104,0.001554,0.004495,0.005363,0.017194,0.018843,0.498511,0.504709
JOR,0.42556,0.11246,0.03798,0.01064,0.00264,0.00064,0.002,0.00216,0.00584,0.000501,0.000817,0.00234,0.002978,0.010023,0.011295,0.422498,0.428627
COD,0.40127,0.11882,0.03315,0.00861,0.00204,0.0005,0.00154,0.00172,0.00485,0.000379,0.000659,0.001779,0.002339,0.008056,0.009202,0.398236,0.404312
TUN,0.40832,0.12487,0.03612,0.00919,0.00194,0.00045,0.00149,0.00183,0.00542,0.000336,0.000602,0.001686,0.002233,0.008617,0.009801,0.405277,0.41137
BIH,0.57617,0.18892,0.05189,0.01093,0.00225,0.00039,0.00186,0.00194,0.00674,0.000285,0.000533,0.001975,0.002563,0.010304,0.011593,0.573104,0.57923
IRQ,0.28517,0.08784,0.02497,0.00551,0.00117,0.00025,0.00092,0.00093,0.00341,0.000169,0.000369,0.000976,0.001402,0.00507,0.005988,0.28238,0.287977
CPV,0.36885,0.08467,0.0236,0.00474,0.00083,0.00014,0.00069,0.00081,0.0031,8.3e-05,0.000235,0.00067,0.001029,0.004333,0.005185,0.365865,0.371846
NZL,0.41808,0.10572,0.02172,0.00443,0.00095,0.00012,0.00083,0.00068,0.0028,6.9e-05,0.00021,0.000777,0.001161,0.004037,0.004861,0.415026,0.42114
KSA,0.34504,0.07842,0.02145,0.00418,0.00073,0.0001,0.00063,0.0007,0.00275,5.4e-05,0.000184,0.000581,0.000918,0.003799,0.004599,0.3421,0.347992
HAI,0.30371,0.0738,0.0171,0.00333,0.00056,0.0001,0.00046,0.00066,0.00211,5.4e-05,0.000184,0.000431,0.000727,0.002992,0.003707,0.300867,0.306568
RSA,0.32685,0.08213,0.01606,0.00293,0.00044,6e-05,0.00038,0.00048,0.00201,2.7e-05,0.000131,0.000328,0.000591,0.002614,0.003285,0.323949,0.329764
GHA,0.241,0.04685,0.00909,0.00163,0.00027,4e-05,0.00023,0.00028,0.00108,1.6e-05,0.000103,0.000186,0.000393,0.001398,0.0019,0.238359,0.243661
QAT,0.27085,0.05447,0.0088,0.00099,0.00014,1e-05,0.00013,8e-05,0.00077,2e-06,5.7e-05,8.3e-05,0.000235,0.000813,0.001205,0.268104,0.273613
CUW,0.20522,0.0365,0.00538,0.00084,0.00012,0.0,0.00012,0.00013,0.00059,0.0,3.8e-05,6.9e-05,0.00021,0.000679,0.00104,0.202728,0.207734
