team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob,champion_ci_low,champion_ci_high,final_ci_low,final_ci_high,sf_ci_low,sf_ci_high,group_ci_low,group_ci_high
FRA,0.8459,0.55941,0.3545,0.22091,0.13538,0.0819,0.05348,0.05323,0.0323,0.080216,0.083616,0.133273,0.137515,0.218349,0.223492,0.843649,0.848124
ARG,0.85995,0.53578,0.34447,0.21583,0.13094,0.07818,0.05276,0.05346,0.03143,0.076532,0.07986,0.128863,0.133045,0.213291,0.218391,0.857785,0.862087
ESP,0.8639,0.53238,0.33357,0.20814,0.12481,0.07317,0.05164,0.05082,0.03251,0.071572,0.074801,0.122776,0.126873,0.205635,0.210667,0.861761,0.866011
ENG,0.83421,0.52137,0.32139,0.19144,0.11374,0.06646,0.04728,0.04642,0.03128,0.064933,0.068021,0.111787,0.115723,0.189013,0.19389,0.831892,0.836502
BRA,0.84313,0.52294,0.32074,0.19217,0.11361,0.06587,0.04774,0.04648,0.03208,0.064349,0.067424,0.111658,0.115592,0.18974,0.194624,0.840863,0.845371
POR,0.81756,0.4752,0.27751,0.1588,0.08947,0.04928,0.04019,0.03891,0.03042,0.047956,0.050639,0.087717,0.091255,0.156548,0.161078,0.815154,0.819942
GER,0.81737,0.48777,0.26992,0.15352,0.08401,0.04498,0.03903,0.03962,0.02989,0.043713,0.046282,0.082307,0.085745,0.151299,0.155768,0.814963,0.819752
COL,0.7946,0.44466,0.24908,0.1365,0.07193,0.03697,0.03496,0.03521,0.02936,0.035818,0.038157,0.070345,0.073548,0.134386,0.138642,0.792085,0.797093
BEL,0.81433,0.46223,0.25629,0.1357,0.07197,0.03682,0.03515,0.0338,0.02993,0.03567,0.038005,0.070385,0.073588,0.133591,0.137837,0.811908,0.816728
JPN,0.74665,0.39541,0.21699,0.11474,0.05905,0.02935,0.0297,0.03039,0.0253,0.028322,0.030414,0.057606,0.060528,0.112779,0.11673,0.743945,0.749336
CRO,0.72369,0.38782,0.20484,0.106,0.0539,0.0266,0.0273,0.02657,0.02553,0.025621,0.027616,0.052517,0.055317,0.104107,0.107923,0.72091,0.726453
MAR,0.73403,0.39379,0.2108,0.10739,0.0531,0.02628,0.02682,0.02837,0.02592,0.025307,0.02729,0.051727,0.054507,0.105486,0.109324,0.731282,0.73676
MEX,0.78884,0.43268,0.21858,0.11031,0.05458,0.02576,0.02882,0.02893,0.0268,0.024796,0.02676,0.053189,0.056005,0.108383,0.112267,0.786299,0.791359
NED,0.71056,0.36727,0.19602,0.09842,0.0492,0.02374,0.02546,0.02468,0.02454,0.022815,0.024702,0.047877,0.050558,0.096589,0.100282,0.707741,0.713363
CAN,0.77812,0.4267,0.21275,0.10431,0.05002,0.02342,0.0266,0.02698,0.02731,0.022501,0.024376,0.048686,0.051388,0.102431,0.10622,0.775534,0.780685
USA,0.74153,0.39472,0.19824,0.09764,0.04729,0.02179,0.0255,0.02513,0.02522,0.020903,0.022713,0.045992,0.048623,0.095816,0.099495,0.738807,0.744234
URU,0.72629,0.36465,0.19074,0.09655,0.04568,0.02122,0.02446,0.02509,0.02578,0.020345,0.022132,0.044403,0.046992,0.094735,0.098396,0.723518,0.729045
ECU,0.73886,0.3889,0.18875,0.09357,0.04403,0.02045,0.02358,0.02369,0.02585,0.019591,0.021346,0.042776,0.045319,0.091781,0.095391,0.736128,0.741573
SEN,0.6734,0.35797,0.1818,0.08959,0.04299,0.01998,0.02301,0.02276,0.02384,0.019131,0.020866,0.04175,0.044265,0.087836,0.091376,0.670487,0.6763
NOR,0.66204,0.34936,0.1763,0.08654,0.04064,0.01917,0.02147,0.0224,0.0235,0.018338,0.020039,0.039434,0.041882,0.084813,0.088299,0.659102,0.664966
SUI,0.73858,0.39111,0.18936,0.09008,0.04173,0.01877,0.02296,0.02349,0.02486,0.017947,0.01963,0.040508,0.042987,0.088321,0.09187,0.735847,0.741294
AUT,0.66831,0.31444,0.15339,0.07232,0.03303,0.0142,0.01883,0.01794,0.02135,0.013485,0.014952,0.03194,0.034156,0.070731,0.073942,0.665385,0.671222
