team,position,probability
ESP,group_1,0.46273
ESP,group_2,0.27382
ESP,group_3,0.16725
ESP,group_4,0.0962
FRA,group_1,0.43439
FRA,group_2,0.27441
FRA,group_3,0.1799
FRA,group_4,0.1113
ARG,group_1,0.46195
ARG,group_2,0.26851
ARG,group_3,0.16848
ARG,group_4,0.10106
BRA,group_1,0.42754
BRA,group_2,0.27778
BRA,group_3,0.18376
BRA,group_4,0.11092
ENG,group_1,0.4171
ENG,group_2,0.27648
ENG,group_3,0.18716
ENG,group_4,0.11926
POR,group_1,0.38179
POR,group_2,0.28749
POR,group_3,0.20145
POR,group_4,0.12927
GER,group_1,0.39317
GER,group_2,0.27752
GER,group_3,0.19867
GER,group_4,0.13064
NED,group_1,0.27898
NED,group_2,0.26354
NED,group_3,0.24244
NED,group_4,0.21504
BEL,group_1,0.39537
BEL,group_2,0.27343
BEL,group_3,0.19624
BEL,group_4,0.13496
JPN,group_1,0.31758
JPN,group_2,0.26929
JPN,group_3,0.22469
JPN,group_4,0.18844
SEN,group_1,0.22587
SEN,group_2,0.26895
SEN,group_3,0.26809
SEN,group_4,0.23709
MAR,group_1,0.27294
MAR,group_2,0.28736
MAR,group_3,0.25142
MAR,group_4,0.18828
COL,group_1,0.34443
COL,group_2,0.29511
COL,group_3,0.21459
COL,group_4,0.14587
URU,group_1,0.26304
URU,group_2,0.29173
URU,group_3,0.25141
URU,group_4,0.19382
NOR,group_1,0.21751
NOR,group_2,0.26346
NOR,group_3,0.27313
NOR,group_4,0.2459
CRO,group_1,0.27218
CRO,group_2,0.28082
CRO,group_3,0.24696
CRO,group_4,0.20004
SUI,group_1,0.29733
SUI,group_2,0.27288
SUI,group_3,0.23797
SUI,group_4,0.19182
AUT,group_1,0.21743
AUT,group_2,0.27037
AUT,group_3,0.27272
AUT,group_4,0.23948
MEX,group_1,0.36808
MEX,group_2,0.2691
MEX,group_3,0.20748
MEX,group_4,0.15534
USA,group_1,0.31603
USA,group_2,0.26442
USA,group_3,0.22687
USA,group_4,0.19268
ECU,group_1,0.28614
ECU,group_2,0.28223
ECU,group_3,0.24262
ECU,group_4,0.18901
SWE,group_1,0.21744
SWE,group_2,0.24107
SWE,group_3,0.26371
SWE,group_4,0.27778
ALG,group_1,0.19618
ALG,group_2,0.26254
ALG,group_3,0.27647
ALG,group_4,0.26481
PAR,group_1,0.23867
PAR,group_2,0.24974
PAR,group_3,0.25317
PAR,group_4,0.25842
TUN,group_1,0.186
TUN,group_2,0.2261
TUN,group_3,0.26916
TUN,group_4,0.31874
IRN,group_1,0.2501
IRN,group_2,0.26852
IRN,group_3,0.25288
IRN,group_4,0.2285
AUS,group_1,0.21615
AUS,group_2,0.24175
AUS,group_3,0.26032
AUS,group_4,0.28178
SCO,group_1,0.18914
SCO,group_2,0.25237
SCO,group_3,0.28768
SCO,group_4,0.27081
TUR,group_1,0.22915
TUR,group_2,0.24409
TUR,group_3,0.25964
TUR,group_4,0.26712
KOR,group_1,0.24411
KOR,group_2,0.26009
KOR,group_3,0.25493
KOR,group_4,0.24087
EGY,group_1,0.2055
EGY,group_2,0.24747
EGY,group_3,0.27057
EGY,group_4,0.27646
CZE,group_1,0.21765
CZE,group_2,0.25096
CZE,group_3,0.26204
CZE,group_4,0.26935
CIV,group_1,0.1982
CIV,group_2,0.24769
CIV,group_3,0.28142
CIV,group_4,0.27269
BIH,group_1,0.19786
BIH,group_2,0.24062
BIH,group_3,0.27262
BIH,group_4,0.2889
GHA,group_1,0.15844
GHA,group_2,0.22693
GHA,group_3,0.28292
GHA,group_4,0.33171
PAN,group_1,0.15228
PAN,group_2,0.21577
PAN,group_3,0.28296
PAN,group_4,0.34899
QAT,group_1,0.1538
QAT,group_2,0.21363
QAT,group_3,0.27615
QAT,group_4,0.35642
IRQ,group_1,0.12223
IRQ,group_2,0.19318
IRQ,group_3,0.27888
IRQ,group_4,0.40571
KSA,group_1,0.14364
KSA,group_2,0.22274
KSA,group_3,0.29293
KSA,group_4,0.34069
RSA,group_1,0.17016
RSA,group_2,0.21985
RSA,group_3,0.27555
RSA,group_4,0.33444
UZB,group_1,0.14523
UZB,group_2,0.21525
UZB,group_3,0.29555
UZB,group_4,0.34397
JOR,group_1,0.12444
JOR,group_2,0.19858
JOR,group_3,0.28233
JOR,group_4,0.39465
CPV,group_1,0.13059
CPV,group_2,0.21171
CPV,group_3,0.28841
CPV,group_4,0.36929
NZL,group_1,0.14903
NZL,group_2,0.21058
NZL,group_3,0.28031
NZL,group_4,0.36008
CUW,group_1,0.12249
CUW,group_2,0.19256
CUW,group_3,0.27729
CUW,group_4,0.40766
HAI,group_1,0.11038
HAI,group_2,0.18249
HAI,group_3,0.27714
HAI,group_4,0.42999
COD,group_1,0.12855
COD,group_2,0.20215
COD,group_3,0.28841
COD,group_4,0.38089
CAN,group_1,0.35101
CAN,group_2,0.27287
CAN,group_3,0.21326
CAN,group_4,0.16286
