team,expert_champion_prob,elo_champion_prob,delta_pp,expert_rank,elo_rank,rank_delta,expert_final_prob,elo_final_prob
FRA,0.0819,0.10033,0.0184,1,3,-2,0.13538,0.17216
ARG,0.07818,0.14761,0.0694,2,2,0,0.13094,0.23112
ESP,0.07317,0.1697,0.0965,3,1,2,0.12481,0.26098
ENG,0.06646,0.06708,0.0006,4,4,0,0.11374,0.12662
BRA,0.06587,0.05692,-0.009,5,5,0,0.11361,0.10992
POR,0.04928,0.04811,-0.0012,6,7,-1,0.08947,0.09544
GER,0.04498,0.03022,-0.0148,7,10,-3,0.08401,0.0674
COL,0.03697,0.04821,0.0112,8,6,2,0.07193,0.09608
BEL,0.03682,0.02178,-0.015,9,15,-6,0.07197,0.05166
JPN,0.02935,0.02367,-0.0057,10,12,-2,0.05905,0.05327
CRO,0.0266,0.02279,-0.0038,11,14,-3,0.0539,0.05359
MAR,0.02628,0.0097,-0.0166,12,22,-10,0.0531,0.0271
MEX,0.02576,0.02549,-0.0003,13,11,2,0.05458,0.05916
NED,0.02374,0.03297,0.0092,14,8,6,0.0492,0.07164
CAN,0.02342,0.01029,-0.0131,15,21,-6,0.05002,0.0299
USA,0.02179,0.00329,-0.0185,16,28,-12,0.04729,0.01151
URU,0.02122,0.02021,-0.001,17,17,0,0.04568,0.04966
ECU,0.02045,0.03089,0.0104,18,9,9,0.04403,0.06919
SEN,0.01998,0.01446,-0.0055,19,19,0,0.04299,0.03715
NOR,0.01917,0.0231,0.0039,20,13,7,0.04064,0.0543
SUI,0.01877,0.02144,0.0027,21,16,5,0.04173,0.05223
AUT,0.0142,0.00781,-0.0064,22,23,-1,0.03303,0.02139
SWE,0.01301,0.00188,-0.0111,23,32,-9,0.02896,0.00697
PAR,0.01283,0.01091,-0.0019,24,20,4,0.03037,0.0289
IRN,0.01245,0.00476,-0.0077,25,24,1,0.02966,0.0154
SCO,0.01097,0.00458,-0.0064,26,25,1,0.02609,0.01456
TUR,0.01096,0.01882,0.0079,27,18,9,0.02583,0.04599
ALG,0.01082,0.00279,-0.008,28,30,-2,0.02647,0.00941
KOR,0.00984,0.00404,-0.0058,29,27,2,0.0248,0.01381
AUS,0.00953,0.0042,-0.0053,30,26,4,0.02399,0.01394
TUN,0.00839,0.00045,-0.0079,31,38,-7,0.02061,0.00194
CIV,0.00799,0.00144,-0.0066,32,34,-2,0.02075,0.00605
EGY,0.00737,0.00144,-0.0059,33,33,0,0.01889,0.00614
CZE,0.00734,0.00296,-0.0044,34,29,5,0.01877,0.01051
GHA,0.00644,4e-05,-0.0064,35,46,-11,0.01685,0.00027
BIH,0.00619,0.00039,-0.0058,36,39,-3,0.01726,0.00225
PAN,0.0053,0.002,-0.0033,37,31,6,0.01391,0.00786
KSA,0.00474,0.0001,-0.0046,38,43,-5,0.01311,0.00073
UZB,0.00441,0.00131,-0.0031,39,35,4,0.01187,0.00491
IRQ,0.00385,0.00025,-0.0036,40,40,0,0.01067,0.00117
CPV,0.0035,0.00014,-0.0034,41,41,0,0.00994,0.00083
RSA,0.00344,6e-05,-0.0034,42,45,-3,0.01049,0.00044
QAT,0.00307,1e-05,-0.0031,43,47,-4,0.00977,0.00014
COD,0.00306,0.0005,-0.0026,44,37,7,0.00865,0.00204
NZL,0.00297,0.00012,-0.0028,45,42,3,0.00886,0.00095
JOR,0.00283,0.00064,-0.0022,46,36,10,0.00871,0.00264
CUW,0.00222,0.0,-0.0022,47,48,-1,0.00697,0.00012
HAI,0.00212,0.0001,-0.002,48,44,4,0.00665,0.00056
