team,stage,probability
ESP,group_survived,0.8639
ESP,r16,0.53238
ESP,qf,0.33357
ESP,sf,0.20814
ESP,final,0.12481
ESP,champion,0.07317
FRA,group_survived,0.8459
FRA,r16,0.55941
FRA,qf,0.3545
FRA,sf,0.22091
FRA,final,0.13538
FRA,champion,0.0819
ARG,group_survived,0.85995
ARG,r16,0.53578
ARG,qf,0.34447
ARG,sf,0.21583
ARG,final,0.13094
ARG,champion,0.07818
BRA,group_survived,0.84313
BRA,r16,0.52294
BRA,qf,0.32074
BRA,sf,0.19217
BRA,final,0.11361
BRA,champion,0.06587
ENG,group_survived,0.83421
ENG,r16,0.52137
ENG,qf,0.32139
ENG,sf,0.19144
ENG,final,0.11374
ENG,champion,0.06646
POR,group_survived,0.81756
POR,r16,0.4752
POR,qf,0.27751
POR,sf,0.1588
POR,final,0.08947
POR,champion,0.04928
GER,group_survived,0.81737
GER,r16,0.48777
GER,qf,0.26992
GER,sf,0.15352
GER,final,0.08401
GER,champion,0.04498
NED,group_survived,0.71056
NED,r16,0.36727
NED,qf,0.19602
NED,sf,0.09842
NED,final,0.0492
NED,champion,0.02374
BEL,group_survived,0.81433
BEL,r16,0.46223
BEL,qf,0.25629
BEL,sf,0.1357
BEL,final,0.07197
BEL,champion,0.03682
JPN,group_survived,0.74665
JPN,r16,0.39541
JPN,qf,0.21699
JPN,sf,0.11474
JPN,final,0.05905
JPN,champion,0.02935
SEN,group_survived,0.6734
SEN,r16,0.35797
SEN,qf,0.1818
SEN,sf,0.08959
SEN,final,0.04299
SEN,champion,0.01998
MAR,group_survived,0.73403
MAR,r16,0.39379
MAR,qf,0.2108
MAR,sf,0.10739
MAR,final,0.0531
MAR,champion,0.02628
COL,group_survived,0.7946
COL,r16,0.44466
COL,qf,0.24908
COL,sf,0.1365
COL,final,0.07193
COL,champion,0.03697
URU,group_survived,0.72629
URU,r16,0.36465
URU,qf,0.19074
URU,sf,0.09655
URU,final,0.04568
URU,champion,0.02122
NOR,group_survived,0.66204
NOR,r16,0.34936
NOR,qf,0.1763
NOR,sf,0.08654
NOR,final,0.04064
NOR,champion,0.01917
CRO,group_survived,0.72369
CRO,r16,0.38782
CRO,qf,0.20484
CRO,sf,0.106
CRO,final,0.0539
CRO,champion,0.0266
SUI,group_survived,0.73858
SUI,r16,0.39111
SUI,qf,0.18936
SUI,sf,0.09008
SUI,final,0.04173
SUI,champion,0.01877
AUT,group_survived,0.66831
AUT,r16,0.31444
AUT,qf,0.15339
AUT,sf,0.07232
AUT,final,0.03303
AUT,champion,0.0142
MEX,group_survived,0.78884
MEX,r16,0.43268
MEX,qf,0.21858
MEX,sf,0.11031
MEX,final,0.05458
MEX,champion,0.02576
USA,group_survived,0.74153
USA,r16,0.39472
USA,qf,0.19824
USA,sf,0.09764
USA,final,0.04729
USA,champion,0.02179
ECU,group_survived,0.73886
ECU,r16,0.3889
ECU,qf,0.18875
ECU,sf,0.09357
ECU,final,0.04403
ECU,champion,0.02045
SWE,group_survived,0.63458
SWE,r16,0.29531
SWE,qf,0.144
SWE,sf,0.06512
SWE,final,0.02896
SWE,champion,0.01301
ALG,group_survived,0.63817
ALG,r16,0.28691
ALG,qf,0.13546
ALG,sf,0.06113
ALG,final,0.02647
ALG,champion,0.01082
PAR,group_survived,0.65912
PAR,r16,0.32108
PAR,qf,0.1486
PAR,sf,0.06797
PAR,final,0.03037
PAR,champion,0.01283
TUN,group_survived,0.58487
TUN,r16,0.25411
TUN,qf,0.11435
TUN,sf,0.04971
TUN,final,0.02061
TUN,champion,0.00839
IRN,group_survived,0.68952
IRN,r16,0.32973
IRN,qf,0.15184
IRN,sf,0.06706
IRN,final,0.02966
IRN,champion,0.01245
AUS,group_survived,0.63158
AUS,r16,0.2965
AUS,qf,0.13084
AUS,sf,0.0567
AUS,final,0.02399
AUS,champion,0.00953
SCO,group_survived,0.62801
SCO,r16,0.29684
SCO,qf,0.13989
SCO,sf,0.06147
SCO,final,0.02609
SCO,champion,0.01097
TUR,group_survived,0.64822
TUR,r16,0.30864
TUR,qf,0.13899
TUR,sf,0.06106
TUR,final,0.02583
TUR,champion,0.01096
KOR,group_survived,0.67648
KOR,r16,0.32126
KOR,qf,0.13897
KOR,sf,0.05963
KOR,final,0.0248
KOR,champion,0.00984
EGY,group_survived,0.63007
EGY,r16,0.27867
EGY,qf,0.11914
EGY,sf,0.04823
EGY,final,0.01889
EGY,champion,0.00737
CZE,group_survived,0.64356
CZE,r16,0.29241
CZE,qf,0.12117
CZE,sf,0.0482
CZE,final,0.01877
CZE,champion,0.00734
CIV,group_survived,0.63009
CIV,r16,0.28861
CIV,qf,0.1209
CIV,sf,0.05115
CIV,final,0.02075
CIV,champion,0.00799
BIH,group_survived,0.61598
BIH,r16,0.27612
BIH,qf,0.11185
BIH,sf,0.04402
BIH,final,0.01726
BIH,champion,0.00619
GHA,group_survived,0.56197
GHA,r16,0.24005
GHA,qf,0.10236
GHA,sf,0.04286
GHA,final,0.01685
GHA,champion,0.00644
PAN,group_survived,0.54443
PAN,r16,0.22709
PAN,qf,0.09348
PAN,sf,0.03702
PAN,final,0.01391
PAN,champion,0.0053
QAT,group_survived,0.54133
QAT,r16,0.22126
QAT,qf,0.081
QAT,sf,0.02837
QAT,final,0.00977
QAT,champion,0.00307
IRQ,group_survived,0.48245
IRQ,r16,0.19983
IRQ,qf,0.07845
IRQ,sf,0.02885
IRQ,final,0.01067
IRQ,champion,0.00385
KSA,group_survived,0.54429
KSA,r16,0.21424
KSA,qf,0.08876
KSA,sf,0.03404
KSA,final,0.01311
KSA,champion,0.00474
RSA,group_survived,0.56676
RSA,r16,0.2283
RSA,qf,0.08371
RSA,sf,0.03049
RSA,final,0.01049
RSA,champion,0.00344
UZB,group_survived,0.54212
UZB,r16,0.21096
UZB,qf,0.08276
UZB,sf,0.03176
UZB,final,0.01187
UZB,champion,0.00441
JOR,group_survived,0.49035
JOR,r16,0.17875
JOR,qf,0.06851
JOR,sf,0.02548
JOR,final,0.00871
JOR,champion,0.00283
CPV,group_survived,0.5161
CPV,r16,0.19286
CPV,qf,0.07571
CPV,sf,0.02748
CPV,final,0.00994
CPV,champion,0.0035
NZL,group_survived,0.5341
NZL,r16,0.19889
NZL,qf,0.07133
NZL,sf,0.0253
NZL,final,0.00886
NZL,champion,0.00297
CUW,group_survived,0.48196
CUW,r16,0.1805
CUW,qf,0.06213
CUW,sf,0.02182
CUW,final,0.00697
CUW,champion,0.00222
HAI,group_survived,0.45668
HAI,r16,0.17026
HAI,qf,0.06192
HAI,sf,0.02017
HAI,final,0.00665
HAI,champion,0.00212
COD,group_survived,0.50536
COD,r16,0.18426
COD,qf,0.06785
COD,sf,0.02444
COD,final,0.00865
COD,champion,0.00306
CAN,group_survived,0.77812
CAN,r16,0.4267
CAN,qf,0.21275
CAN,sf,0.10431
CAN,final,0.05002
CAN,champion,0.02342
