team,champion_prob
ARG,0.07808
FRA,0.07703
ESP,0.07578
BRA,0.06559
ENG,0.06491
POR,0.04738
GER,0.04597
COL,0.04066
BEL,0.03516
JPN,0.02856
CAN,0.02819
MAR,0.02765
MEX,0.0267
NED,0.02547
USA,0.02489
CRO,0.02273
URU,0.02244
SEN,0.0211
NOR,0.01892
ECU,0.01872
SUI,0.01749
AUT,0.01373
SWE,0.01281
PAR,0.01168
IRN,0.0115
SCO,0.01063
ALG,0.01059
TUR,0.01
AUS,0.00964
KOR,0.00929
EGY,0.00888
CIV,0.00871
TUN,0.00829
CZE,0.00806
GHA,0.00657
PAN,0.00591
BIH,0.00575
KSA,0.00424
UZB,0.00424
RSA,0.00384
IRQ,0.00362
QAT,0.00356
CPV,0.00329
NZL,0.00273
JOR,0.00268
COD,0.00252
HAI,0.002
CUW,0.00182
