team,position,probability
ESP,group_1,0.428
ESP,group_2,0.264
ESP,group_3,0.192
ESP,group_4,0.116
FRA,group_1,0.385
FRA,group_2,0.283
FRA,group_3,0.186
FRA,group_4,0.146
ARG,group_1,0.396
ARG,group_2,0.258
ARG,group_3,0.206
ARG,group_4,0.14
BRA,group_1,0.401
BRA,group_2,0.263
BRA,group_3,0.194
BRA,group_4,0.142
ENG,group_1,0.416
ENG,group_2,0.268
ENG,group_3,0.185
ENG,group_4,0.131
POR,group_1,0.39
POR,group_2,0.298
POR,group_3,0.184
POR,group_4,0.128
GER,group_1,0.389
GER,group_2,0.291
GER,group_3,0.199
GER,group_4,0.121
NED,group_1,0.283
NED,group_2,0.249
NED,group_3,0.246
NED,group_4,0.222
BEL,group_1,0.356
BEL,group_2,0.281
BEL,group_3,0.212
BEL,group_4,0.151
JPN,group_1,0.296
JPN,group_2,0.268
JPN,group_3,0.206
JPN,group_4,0.23
SEN,group_1,0.253
SEN,group_2,0.247
SEN,group_3,0.272
SEN,group_4,0.228
MAR,group_1,0.242
MAR,group_2,0.295
MAR,group_3,0.264
MAR,group_4,0.199
COL,group_1,0.288
COL,group_2,0.255
COL,group_3,0.258
COL,group_4,0.199
URU,group_1,0.25
URU,group_2,0.294
URU,group_3,0.246
URU,group_4,0.21
NOR,group_1,0.227
NOR,group_2,0.261
NOR,group_3,0.27
NOR,group_4,0.242
CRO,group_1,0.261
CRO,group_2,0.276
CRO,group_3,0.253
CRO,group_4,0.21
SUI,group_1,0.281
SUI,group_2,0.257
SUI,group_3,0.253
SUI,group_4,0.209
AUT,group_1,0.251
AUT,group_2,0.282
AUT,group_3,0.26
AUT,group_4,0.207
MEX,group_1,0.29
MEX,group_2,0.26
MEX,group_3,0.242
MEX,group_4,0.208
USA,group_1,0.291
USA,group_2,0.241
USA,group_3,0.253
USA,group_4,0.215
ECU,group_1,0.225
ECU,group_2,0.273
ECU,group_3,0.275
ECU,group_4,0.227
SWE,group_1,0.234
SWE,group_2,0.242
SWE,group_3,0.261
SWE,group_4,0.263
ALG,group_1,0.217
ALG,group_2,0.258
ALG,group_3,0.249
ALG,group_4,0.276
PAR,group_1,0.245
PAR,group_2,0.255
PAR,group_3,0.231
PAR,group_4,0.269
TUN,group_1,0.187
TUN,group_2,0.241
TUN,group_3,0.287
TUN,group_4,0.285
IRN,group_1,0.253
IRN,group_2,0.274
IRN,group_3,0.26
IRN,group_4,0.213
AUS,group_1,0.213
AUS,group_2,0.275
AUS,group_3,0.271
AUS,group_4,0.241
SCO,group_1,0.23
SCO,group_2,0.244
SCO,group_3,0.261
SCO,group_4,0.265
TUR,group_1,0.251
TUR,group_2,0.229
TUR,group_3,0.245
TUR,group_4,0.275
KOR,group_1,0.259
KOR,group_2,0.276
KOR,group_3,0.232
KOR,group_4,0.233
EGY,group_1,0.234
EGY,group_2,0.225
EGY,group_3,0.262
EGY,group_4,0.279
CZE,group_1,0.249
CZE,group_2,0.249
CZE,group_3,0.26
CZE,group_4,0.242
CIV,group_1,0.246
CIV,group_2,0.227
CIV,group_3,0.271
CIV,group_4,0.256
BIH,group_1,0.216
BIH,group_2,0.255
BIH,group_3,0.255
BIH,group_4,0.274
GHA,group_1,0.179
GHA,group_2,0.245
GHA,group_3,0.272
GHA,group_4,0.304
PAN,group_1,0.144
PAN,group_2,0.211
PAN,group_3,0.29
PAN,group_4,0.355
QAT,group_1,0.213
QAT,group_2,0.224
QAT,group_3,0.262
QAT,group_4,0.301
IRQ,group_1,0.135
IRQ,group_2,0.209
IRQ,group_3,0.272
IRQ,group_4,0.384
KSA,group_1,0.163
KSA,group_2,0.233
KSA,group_3,0.274
KSA,group_4,0.33
RSA,group_1,0.202
RSA,group_2,0.215
RSA,group_3,0.266
RSA,group_4,0.317
UZB,group_1,0.157
UZB,group_2,0.236
UZB,group_3,0.262
UZB,group_4,0.345
JOR,group_1,0.136
JOR,group_2,0.202
JOR,group_3,0.285
JOR,group_4,0.377
CPV,group_1,0.159
CPV,group_2,0.209
CPV,group_3,0.288
CPV,group_4,0.344
NZL,group_1,0.157
NZL,group_2,0.22
NZL,group_3,0.266
NZL,group_4,0.357
CUW,group_1,0.14
CUW,group_2,0.209
CUW,group_3,0.255
CUW,group_4,0.396
HAI,group_1,0.127
HAI,group_2,0.198
HAI,group_3,0.281
HAI,group_4,0.394
COD,group_1,0.165
COD,group_2,0.211
COD,group_3,0.296
COD,group_4,0.328
CAN,group_1,0.29
CAN,group_2,0.264
CAN,group_3,0.23
CAN,group_4,0.216
