team,stage,probability
ESP,group_survived,0.831
ESP,r16,0.514
ESP,qf,0.304
ESP,sf,0.187
ESP,final,0.115
ESP,champion,0.067
FRA,group_survived,0.801
FRA,r16,0.52
FRA,qf,0.322
FRA,sf,0.179
FRA,final,0.111
FRA,champion,0.06
ARG,group_survived,0.815
ARG,r16,0.489
ARG,qf,0.313
ARG,sf,0.193
ARG,final,0.107
ARG,champion,0.06
BRA,group_survived,0.792
BRA,r16,0.491
BRA,qf,0.288
BRA,sf,0.172
BRA,final,0.094
BRA,champion,0.055
ENG,group_survived,0.813
ENG,r16,0.476
ENG,qf,0.293
ENG,sf,0.167
ENG,final,0.102
ENG,champion,0.059
POR,group_survived,0.826
POR,r16,0.492
POR,qf,0.3
POR,sf,0.173
POR,final,0.091
POR,champion,0.051
GER,group_survived,0.839
GER,r16,0.481
GER,qf,0.262
GER,sf,0.158
GER,final,0.082
GER,champion,0.054
NED,group_survived,0.711
NED,r16,0.362
NED,qf,0.192
NED,sf,0.106
NED,final,0.047
NED,champion,0.022
BEL,group_survived,0.791
BEL,r16,0.449
BEL,qf,0.258
BEL,sf,0.134
BEL,final,0.072
BEL,champion,0.04
JPN,group_survived,0.705
JPN,r16,0.363
JPN,qf,0.193
JPN,sf,0.099
JPN,final,0.045
JPN,champion,0.022
SEN,group_survived,0.669
SEN,r16,0.366
SEN,qf,0.194
SEN,sf,0.096
SEN,final,0.05
SEN,champion,0.025
MAR,group_survived,0.718
MAR,r16,0.367
MAR,qf,0.198
MAR,sf,0.094
MAR,final,0.04
MAR,champion,0.02
COL,group_survived,0.723
COL,r16,0.378
COL,qf,0.207
COL,sf,0.096
COL,final,0.053
COL,champion,0.022
URU,group_survived,0.707
URU,r16,0.384
URU,qf,0.196
URU,sf,0.108
URU,final,0.054
URU,champion,0.033
NOR,group_survived,0.677
NOR,r16,0.375
NOR,qf,0.194
NOR,sf,0.094
NOR,final,0.052
NOR,champion,0.023
CRO,group_survived,0.702
CRO,r16,0.39
CRO,qf,0.205
CRO,sf,0.107
CRO,final,0.053
CRO,champion,0.024
SUI,group_survived,0.718
SUI,r16,0.39
SUI,qf,0.184
SUI,sf,0.075
SUI,final,0.043
