team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob
ESP,0.831,0.514,0.304,0.187,0.115,0.067,0.048,0.052,0.02
FRA,0.801,0.52,0.322,0.179,0.111,0.06,0.051,0.039,0.029
ARG,0.815,0.489,0.313,0.193,0.107,0.06,0.047,0.059,0.027
ENG,0.813,0.476,0.293,0.167,0.102,0.059,0.043,0.028,0.037
BRA,0.792,0.491,0.288,0.172,0.094,0.055,0.039,0.052,0.026
GER,0.839,0.481,0.262,0.158,0.082,0.054,0.028,0.04,0.036
POR,0.826,0.492,0.3,0.173,0.091,0.051,0.04,0.052,0.03
BEL,0.791,0.449,0.258,0.134,0.072,0.04,0.032,0.032,0.03
URU,0.707,0.384,0.196,0.108,0.054,0.033,0.021,0.024,0.03
USA,0.715,0.353,0.19,0.091,0.052,0.029,0.023,0.016,0.023
CAN,0.724,0.359,0.192,0.108,0.057,0.026,0.031,0.026,0.025
AUT,0.715,0.351,0.175,0.103,0.055,0.025,0.03,0.023,0.025
SEN,0.669,0.366,0.194,0.096,0.05,0.025,0.025,0.023,0.023
CRO,0.702,0.39,0.205,0.107,0.053,0.024,0.029,0.03,0.024
NOR,0.677,0.375,0.194,0.094,0.052,0.023,0.029,0.023,0.019
ECU,0.683,0.334,0.157,0.08,0.041,0.023,0.018,0.017,0.022
COL,0.723,0.378,0.207,0.096,0.053,0.022,0.031,0.021,0.022
NED,0.711,0.362,0.192,0.106,0.047,0.022,0.025,0.028,0.031
JPN,0.705,0.363,0.193,0.099,0.045,0.022,0.023,0.03,0.024
MAR,0.718,0.367,0.198,0.094,0.04,0.02,0.02,0.02,0.034
IRN,0.703,0.332,0.17,0.073,0.039,0.019,0.02,0.017,0.017
SUI,0.718,0.39,0.184,0.075,0.043,0.018,0.025,0.013,0.019
MEX,0.725,0.376,0.167,0.077,0.034,0.015,0.019,0.018,0.025
TUR,0.654,0.326,0.141,0.066,0.029,0.014,0.015,0.023,0.014
TUN,0.618,0.303,0.143,0.07,0.033,0.013,0.02,0.02,0.017
SCO,0.641,0.291,0.126,0.061,0.033,0.013,0.02,0.018,0.01
PAR,0.662,0.313,0.143,0.068,0.028,0.013,0.015,0.015,0.025
KOR,0.685,0.382,0.175,0.074,0.035,0.012,0.023,0.015,0.024
EGY,0.64,0.303,0.154,0.066,0.028,0.011,0.017,0.015,0.023
PAN,0.542,0.228,0.104,0.047,0.015,0.011,0.004,0.012,0.02
CIV,0.649,0.313,0.122,0.057,0.027,0.009,0.018,0.012,0.018
CZE,0.669,0.329,0.145,0.058,0.023,0.009,0.014,0.011,0.024
IRQ,0.498,0.226,0.096,0.037,0.017,0.009,0.008,0.01,0.01
SWE,0.647,0.301,0.131,0.065,0.029,0.008,0.021,0.02,0.016
AUS,0.668,0.297,0.132,0.06,0.021,0.008,0.013,0.018,0.021
QAT,0.609,0.26,0.109,0.046,0.021,0.008,0.013,0.01,0.015
KSA,0.563,0.222,0.091,0.042,0.021,0.008,0.013,0.01,0.011
BIH,0.648,0.32,0.125,0.048,0.016,0.008,0.008,0.013,0.019
ALG,0.63,0.278,0.138,0.059,0.02,0.007,0.013,0.019,0.02
GHA,0.592,0.246,0.109,0.053,0.018,0.007,0.011,0.02,0.015
UZB,0.56,0.234,0.106,0.038,0.017,0.007,0.01,0.008,0.013
COD,0.554,0.222,0.081,0.031,0.015,0.007,0.008,0.005,0.011
JOR,0.509,0.192,0.083,0.032,0.016,0.006,0.01,0.008,0.008
NZL,0.541,0.197,0.061,0.024,0.009,0.006,0.003,0.007,0.008
RSA,0.586,0.246,0.112,0.05,0.015,0.005,0.01,0.014,0.021
CPV,0.538,0.204,0.082,0.026,0.009,0.004,0.005,0.004,0.013
HAI,0.489,0.181,0.067,0.023,0.005,0.003,0.002,0.007,0.011
CUW,0.505,0.194,0.07,0.029,0.011,0.002,0.009,0.003,0.015
